website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
facebook.com,200,2,0.065,0.079,0.187,0.187,1.079,0.292,1.372
google.com.ar,200,1,0.033,0.047,0.000,0.047,0.104,0.115,0.218
youtube.com,200,2,0.005,0.239,0.371,0.371,0.189,0.421,0.610
google.com,200,1,0.068,0.119,0.000,0.119,0.584,0.221,0.806
live.com,200,3,0.034,0.116,0.510,0.510,1.605,0.608,2.214
mercadolibre.com.ar,200,1,0.530,0.618,0.000,0.618,0.263,0.802,1.065
yahoo.com,200,1,0.524,0.561,0.779,0.779,0.223,0.861,1.084
twitter.com,200,1,0.004,0.024,0.182,0.182,0.075,0.351,0.425
clarin.com,200,1,0.035,0.244,0.000,0.244,0.572,0.493,1.064
amazon.com,200,1,0.028,0.141,0.000,0.141,0.216,0.823,1.038
lanacion.com.ar,200,1,0.068,0.158,0.000,0.158,1.135,0.265,1.400
msn.com,200,1,0.526,0.538,0.000,0.538,0.595,0.622,1.216
wikipedia.org,200,2,0.031,0.060,0.198,0.198,0.303,0.215,0.518
ask.com,200,1,0.528,0.546,0.000,0.547,0.246,0.711,0.957
infobae.com,200,2,0.000,0.000,0.000,0.000,0.356,0.051,0.407
elintransigente.com,200,1,0.129,0.287,0.000,0.287,0.459,0.445,0.904
lagaceta.com.ar,200,1,0.515,0.544,0.000,0.544,0.543,3.025,3.569
taringa.net,200,1,0.032,0.048,0.000,0.048,0.524,0.811,1.335
instagram.com,200,1,0.528,0.543,0.682,0.682,0.343,0.843,1.186
xvideos.com,200,1,0.031,0.190,0.000,0.190,0.884,0.374,1.258
reimageplus.com,200,1,0.004,0.072,0.000,0.072,0.207,0.167,0.374
linkedin.com,200,2,0.014,0.045,0.206,0.206,0.430,0.249,0.680
t.co,200,0,0.034,0.058,0.000,0.058,0.000,0.077,0.078
onclickads.net,200,1,0.524,0.695,0.000,0.695,0.864,0.901,1.765
netflix.com,200,1,0.031,0.076,0.319,0.319,0.235,0.705,0.939
adnetworkperformance.com,200,0,0.075,0.127,0.000,0.127,0.000,0.182,0.182
afip.gob.ar,200,0,0.519,0.774,0.000,0.774,0.000,1.184,1.184
santanderrio.com.ar,200,2,0.000,0.227,0.000,0.227,0.892,0.737,1.629
ole.com.ar,200,1,0.035,0.307,0.000,0.307,0.686,0.517,1.203
perfil.com,200,1,1.532,1.560,0.000,1.560,0.644,3.333,3.977
booking.com,200,1,0.066,0.151,0.000,0.151,0.880,1.161,2.041
redlink.com.ar,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
despegar.com.ar,200,1,0.267,0.355,0.000,0.355,0.699,0.994,1.693
outbrain.com,200,1,0.526,0.548,0.000,0.548,0.656,0.753,1.409
tn.com.ar,200,0,0.035,0.367,0.000,0.367,0.000,0.666,0.666
wordpress.com,200,1,0.005,0.016,0.148,0.148,0.121,0.198,0.320
misionesonline.net,200,0,0.138,0.345,0.000,0.345,0.000,0.565,0.566
adf.ly,200,0,0.033,0.101,0.000,0.101,0.000,0.248,0.248
tradeadexchange.com,200,0,0.006,0.087,0.000,0.088,0.000,0.147,0.147
bancogalicia.com.ar,200,1,0.528,0.813,0.000,0.814,0.773,1.127,1.900
friv.com,200,0,1.518,1.585,0.000,1.585,0.000,1.640,1.640
visa.com.ar,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
bigbangnews.com,400,0,0.005,0.092,0.000,0.092,0.000,0.230,0.230
paisdelosjuegos.com.ar,200,1,0.256,0.449,0.000,0.449,0.535,1.426,1.961
afip.gov.ar,200,0,0.263,0.490,0.000,0.490,0.000,0.734,0.734
uptodown.com,200,1,0.070,0.104,0.000,0.104,0.074,0.169,0.243
olx.com.ar,200,4,0.000,0.000,0.000,0.000,2.422,0.208,2.630
whatsapp.com,200,1,0.032,0.046,0.164,0.164,0.588,0.204,0.793
skincareimprove.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
google.es,200,1,0.068,0.103,0.000,0.103,0.096,0.174,0.270
