website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
facebook.com,200,2,0.068,0.081,0.200,0.200,2.203,0.319,2.522
youtube.com,200,2,0.005,0.019,0.169,0.169,0.273,0.225,0.498
google.ba,200,1,0.070,0.087,0.000,0.087,0.137,0.147,0.284
google.com,200,1,0.071,0.088,0.000,0.089,0.110,0.155,0.266
olx.ba,200,1,0.269,0.480,0.000,0.480,0.594,0.652,1.246
klix.ba,200,1,0.263,0.276,0.000,0.276,0.353,1.097,1.450
yahoo.com,200,1,0.524,0.560,0.758,0.758,0.301,0.855,1.157
avaz.ba,200,1,0.266,0.286,0.000,0.286,0.657,0.710,1.368
wikipedia.org,200,2,0.036,0.058,0.158,0.158,0.257,0.178,0.435
live.com,200,3,0.528,0.615,0.928,0.928,1.096,1.038,2.134
aljazeera.net,200,2,0.000,0.000,0.000,0.000,0.687,0.034,0.721
ekskluziva.ba,200,0,0.266,0.306,0.000,0.306,0.000,0.663,0.664
twitter.com,200,1,0.005,0.029,0.185,0.185,0.188,0.337,0.525
ebay.com,200,1,0.524,0.538,0.000,0.538,0.608,0.992,1.600
nezavisne.com,200,1,0.270,0.444,0.000,0.445,0.643,0.690,1.333
blic.rs,200,1,0.536,0.753,0.000,0.753,0.530,0.963,1.493
instagram.com,200,1,0.036,0.052,0.180,0.180,0.261,0.308,0.569
index.hr,200,1,0.066,0.095,0.000,0.095,0.109,0.731,0.840
amazon.com,200,1,0.034,0.116,0.000,0.116,0.208,0.236,0.444
ask.com,200,1,0.527,0.548,0.000,0.548,0.325,0.696,1.021
adnetworkperformance.com,200,0,0.071,0.122,0.000,0.122,0.000,0.172,0.172
kurir.rs,200,1,1.532,1.622,0.000,1.622,0.973,1.714,2.687
telegraf.rs,200,1,0.524,0.847,0.000,0.847,0.637,1.036,1.673
onclickads.net,200,1,0.523,0.691,0.000,0.691,0.368,0.919,1.288
diply.com,200,0,0.030,0.048,0.000,0.048,0.000,0.147,0.147
xnxx.com,200,1,0.036,0.215,0.000,0.215,0.882,0.400,1.282
alibaba.com,200,1,0.065,0.091,0.000,0.091,0.088,0.132,0.219
likemag.com,200,3,0.000,0.000,0.000,0.000,1.049,0.170,1.219
radiosarajevo.ba,200,0,0.270,0.285,0.000,0.285,0.000,0.778,0.778
rezultati.com,200,1,0.531,0.719,0.000,0.719,0.670,0.914,1.584
jutarnji.hr,200,1,1.524,1.701,0.000,1.701,0.451,2.231,2.682
