website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
google.com,200,1,0.529,0.566,0.000,0.566,0.082,0.804,0.886
youtube.com,200,2,0.004,0.018,0.176,0.176,0.196,0.240,0.436
facebook.com,200,2,0.004,0.021,0.121,0.121,0.765,0.238,1.004
amazon.com,200,1,0.036,0.143,0.000,0.143,0.249,0.264,0.513
yahoo.com,200,1,0.527,0.572,0.770,0.770,0.733,0.867,1.600
live.com,200,3,0.066,0.152,0.479,0.479,1.059,0.575,1.634
msn.com,200,1,0.527,0.541,0.000,0.542,0.077,0.601,0.677
bing.com,200,1,0.139,0.158,0.000,0.158,0.590,0.238,0.827
wikipedia.org,200,2,0.036,0.049,0.149,0.149,0.262,0.176,0.438
nationnews.com,200,1,0.137,0.331,0.000,0.331,0.751,0.538,1.290
instagram.com,200,1,0.035,0.052,0.176,0.176,0.258,0.334,0.592
onclickads.net,200,1,0.033,0.216,0.000,0.216,0.353,0.421,0.775
twitter.com,200,1,0.005,0.024,0.215,0.215,0.074,0.413,0.487
primewire.ag,200,1,0.036,0.052,0.000,0.052,0.506,0.474,0.979
bongacams.com,200,1,0.005,0.069,0.356,0.356,0.642,0.882,1.524
kat.cr,301,1,0.005,4.385,4.962,0.000,1.058,0.000,6.020
uwi.edu,200,0,0.263,0.381,0.000,0.381,0.000,0.514,0.514
adnetworkperformance.com,200,0,0.034,0.086,0.000,0.086,0.000,0.144,0.144
barbadostoday.bb,200,1,0.531,0.639,0.000,0.639,2.868,0.768,3.637
ebay.com,200,1,0.070,0.084,0.000,0.084,0.120,0.601,0.721
netflix.com,200,1,0.526,0.765,0.951,0.951,0.250,1.363,1.612
imdb.com,200,1,0.033,0.123,0.000,0.123,0.239,0.664,0.903
projectfreetv.so,200,0,0.029,0.043,0.000,0.043,0.000,0.495,0.496
linkedin.com,200,2,0.004,0.058,0.201,0.201,0.736,0.240,0.976
scotiabank.com,200,1,0.531,0.562,0.000,0.562,0.729,0.687,1.416
diply.com,200,0,0.521,0.535,0.000,0.535,0.000,0.630,0.630
directrev.com,200,1,0.138,0.227,0.000,0.227,0.249,0.243,0.492
alibaba.com,200,1,0.529,0.545,0.000,0.545,0.075,0.580,0.655
popped.biz,200,0,0.029,0.055,0.000,0.055,0.000,0.086,0.086
pornhub.com,200,1,0.005,0.168,0.000,0.168,0.344,0.401,0.745
vodlocker.com,200,0,0.029,0.042,0.000,0.043,0.000,0.598,0.598
putlocker.is,200,2,0.005,0.018,0.000,0.018,1.012,0.625,1.637
ask.com,200,1,0.527,0.547,0.000,0.547,0.220,0.697,0.917
firstcaribbeanbank.com,000,0,0.006,0.000,0.000,0.000,0.000,0.000,4.219
thewatchseries.to,200,0,0.032,0.226,0.000,0.226,0.000,0.468,0.468
aliexpress.com,200,1,0.527,0.547,0.000,0.547,0.115,0.598,0.713
wordpress.com,200,1,0.004,0.019,0.143,0.143,0.146,0.171,0.317
espncricinfo.com,200,1,0.070,0.097,0.000,0.098,0.412,0.119,0.531
paypal.com,200,3,0.000,0.034,0.081,0.081,2.866,0.635,3.501
papuaz.link,200,0,0.070,0.089,0.000,0.089,0.000,0.261,0.261
mediatakeout.com,200,0,0.033,0.051,0.000,0.051,0.000,1.116,1.116
microsoft.com,200,2,0.000,0.000,0.000,0.000,2.204,0.363,2.567
goal.com,200,1,0.069,0.090,0.000,0.090,0.874,0.358,1.232
walmart.com,200,1,0.529,0.547,0.000,0.547,0.259,0.757,1.016
xvideos.com,200,1,0.071,0.240,0.000,0.240,0.885,0.429,1.314
candwmail.com,200,5,0.000,0.089,0.196,0.196,2.294,0.429,2.723
uptodown.com,200,1,0.532,0.548,0.000,0.548,0.090,0.653,0.744
myaeropost.com,200,0,0.136,0.199,0.000,0.199,0.000,0.273,0.273
cloudsrvtrk.com,200,0,0.006,0.023,0.000,0.023,0.000,0.337,0.337
extratorrent.cc,200,0,0.030,0.048,0.000,0.048,0.000,0.698,0.698
blogspot.com,200,6,0.000,0.034,0.059,0.059,0.869,0.504,1.374
movie25.hk,200,0,0.033,0.044,0.000,0.044,0.000,0.215,0.215
barbadosyp.com,200,0,0.135,0.218,0.000,0.218,0.000,0.608,0.608
google.com.vc,200,1,0.033,0.106,0.000,0.106,0.129,0.188,0.317
bbc.com,200,1,0.073,1.098,0.000,1.098,0.340,1.264,1.603
popads.net,200,2,0.005,1.050,1.255,1.255,0.452,1.685,2.137
market-buster.com,200,1,0.140,0.176,0.000,0.176,0.480,0.614,1.094
bet365.com,200,2,0.000,0.000,0.000,0.000,0.958,0.595,1.553
tradeadexchange.com,200,0,0.030,0.127,0.000,0.127,0.000,0.180,0.181
cnn.com,200,1,0.527,0.549,0.000,0.549,1.157,0.577,1.734
terraclicks.com,200,0,0.006,0.119,0.000,0.120,0.000,0.228,0.228
telegraph.co.uk,200,1,0.524,0.540,0.000,0.540,0.095,0.565,0.660
nakeddeparture.com,200,0,0.063,0.090,0.000,0.091,0.000,1.483,1.483
pagesuite-professional.co.uk,200,1,1.535,1.727,0.000,1.727,0.450,1.950,2.400
pinterest.com,200,2,0.521,0.607,0.905,0.905,2.379,1.537,3.916
tagged.com,200,1,0.032,0.043,0.000,0.043,0.209,0.129,0.338
t.co,200,0,0.033,1.052,0.000,1.052,0.000,1.078,1.078
espnfc.com,200,2,0.525,0.552,0.000,0.552,0.748,0.595,1.343
dailymail.co.uk,200,2,0.000,0.000,0.000,0.000,2.166,0.037,2.202
reddit.com,200,2,0.005,0.089,0.460,0.460,0.449,0.667,1.115
go.com,200,0,0.067,0.099,0.000,0.099,0.000,0.125,0.125
buzzonclick.com,200,0,0.030,0.081,0.000,0.081,0.000,0.130,0.130
forever21.com,200,1,0.532,0.554,0.000,0.554,1.566,0.585,2.151
predictivadvertising.com,200,0,0.131,0.186,0.000,0.187,0.000,0.284,0.285
worldstarhiphop.com,200,1,0.069,0.159,0.000,0.159,0.209,0.245,0.454
mymoneymakingapp.com,200,1,0.073,0.085,0.000,0.085,0.475,0.476,0.951
givemesport.com,200,1,0.015,0.068,0.000,0.068,0.114,0.151,0.265
office.com,200,1,0.529,0.590,0.976,0.976,0.217,1.127,1.344
financialsecrets.info,200,1,0.135,0.226,0.000,0.226,0.434,0.651,1.084
all2lnk.com,200,0,0.029,0.234,0.000,0.234,0.000,0.501,0.501
oncloudtrker.com,200,0,0.138,0.167,0.000,0.167,0.000,0.492,0.493
wikia.com,200,2,0.000,0.000,0.000,0.000,0.612,0.016,0.628
tvonline.tw,200,0,0.065,0.099,0.000,0.099,0.000,0.564,0.564
cariblist.com,200,1,1.532,1.626,0.000,1.626,0.273,1.831,2.104
tripadvisor.com,200,1,0.530,0.552,0.000,0.552,0.210,0.771,0.981
allmyvideos.net,200,1,0.000,0.000,0.000,0.000,0.361,0.198,0.559
caribbeanjobsonline.com,200,1,0.270,0.424,0.000,0.424,1.102,0.922,2.023
mystart.com,200,1,0.036,0.104,0.495,0.495,0.205,0.652,0.858
cisco.com,200,1,0.036,0.053,0.000,0.053,0.152,0.071,0.223
cnet.com,200,1,0.070,0.082,0.000,0.082,0.094,0.151,0.245
apple.com,200,1,0.520,0.549,0.000,0.549,0.572,0.568,1.140
cibc.com,200,2,0.000,0.023,0.054,0.054,2.156,0.419,2.576
profitboosterapp.com,200,1,0.139,0.157,0.000,0.157,0.483,0.515,0.998
espn.go.com,200,0,0.524,0.559,0.000,0.559,0.000,0.599,0.599
aeropost.com,200,1,0.000,0.000,0.000,0.000,0.287,0.109,0.396
adobe.com,200,1,0.525,0.544,0.000,0.544,1.709,0.571,2.280
sammydress.com,200,1,0.070,0.084,0.000,0.084,2.248,0.103,2.351
gorillavid.in,200,0,0.263,0.503,0.000,0.503,0.000,1.250,1.250
strongholdthemes.com,503,0,0.006,0.063,0.000,0.063,0.000,0.829,0.829
thetimingsystem.biz,200,1,1.525,1.559,0.000,1.559,0.776,1.585,2.362
roblox.com,200,1,0.527,0.599,0.000,0.599,0.665,0.756,1.421
royalbank.com,200,1,1.541,1.553,0.000,1.553,0.258,1.581,1.839
bestbuy.com,200,1,0.534,0.562,0.000,0.562,0.144,0.604,0.748
ups.com,200,1,0.522,0.610,1.052,1.052,1.725,1.170,2.895
bajantube.com,200,1,0.142,0.204,0.000,0.204,0.281,0.424,0.704
jw.org,200,2,0.000,0.000,0.000,0.000,1.459,0.024,1.483
mybarbadoslottery.com,200,0,0.136,0.189,0.000,0.189,0.000,0.334,0.334
redtube.com,200,1,1.533,1.756,0.000,1.756,0.380,2.056,2.436
whatsapp.com,200,1,0.034,0.051,0.174,0.174,0.069,0.203,0.272
urban-rivals.com,200,1,0.005,0.175,0.000,0.175,0.361,0.351,0.713
reimageplus.com,200,1,0.032,0.094,0.000,0.094,0.667,0.178,0.844
ralphlauren.com,200,2,0.000,0.000,0.000,0.000,0.789,0.075,0.864
liveadexchanger.com,200,0,0.523,0.582,0.000,0.582,0.000,0.634,0.634
solarmovie.ph,200,1,0.030,0.129,0.941,0.941,0.340,1.307,1.647
spaceshipads.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
torrentz.eu,200,0,0.534,0.556,0.000,0.556,0.000,1.090,1.090
thepiratebay.se,200,1,0.005,0.022,0.260,0.260,0.106,1.289,1.395
microsoftonline.com,200,2,0.015,0.078,0.385,0.386,0.773,0.633,1.406
bbc.co.uk,200,1,0.531,0.683,0.000,0.683,0.339,0.842,1.181
y8.com,200,1,0.034,0.128,0.000,0.128,0.214,0.216,0.429
about.com,200,1,0.523,0.611,0.000,0.611,0.241,0.783,1.024
indeed.com,200,1,0.532,0.544,0.000,0.544,0.065,0.574,0.639
taboola.com,200,1,0.528,0.610,0.935,0.935,0.209,1.137,1.346
webmd.com,200,1,0.532,0.550,0.000,0.550,0.100,0.744,0.844
wwwp.link,200,0,0.137,0.162,0.000,0.162,0.000,0.194,0.194
xnxx.com,200,1,0.033,0.195,0.000,0.195,0.372,0.379,0.752
pfhsystem.com,200,1,0.070,0.081,0.000,0.081,0.408,0.550,0.958
macys.com,200,1,0.069,0.092,0.000,0.093,0.662,0.211,0.872
vodlocker.lol,200,0,0.528,0.697,0.000,0.697,0.000,0.996,0.996
dropbox.com,200,2,0.533,0.549,0.643,0.643,1.751,1.004,2.755
rbcroyalbank.com,200,1,0.530,0.544,0.000,0.544,0.331,0.569,0.899
gsmarena.com,200,1,0.005,0.170,0.000,0.170,0.347,0.494,0.841
depositphotos.com,200,0,0.135,0.295,0.000,0.295,0.000,0.924,0.925
huffingtonpost.com,200,1,0.526,0.558,0.000,0.558,1.594,0.595,2.189
chaturbate.com,200,1,0.005,0.035,0.232,0.232,0.164,1.424,1.587
adplxmd.com,200,0,0.005,0.025,0.000,0.025,0.000,0.123,0.123
reuters.com,200,1,0.528,0.541,0.000,0.541,0.449,0.725,1.174
xhamster.com,200,0,0.068,0.240,0.000,0.240,0.000,0.476,0.477
tunein.com,200,0,0.067,0.084,0.000,0.084,0.000,0.115,0.115
jcpenney.com,200,1,0.520,0.535,0.000,0.535,0.082,0.934,1.016
imsos.net,200,0,0.132,0.194,0.000,0.194,0.000,0.338,0.339
tumblr.com,200,1,0.532,0.555,0.693,0.693,0.200,0.928,1.129
amazon.co.uk,200,1,0.034,0.218,0.000,0.218,0.372,0.433,0.806
discoverflow.co,200,2,0.267,0.398,0.765,0.766,1.345,1.126,2.471
mangahere.co,200,1,0.068,0.298,0.000,0.298,0.618,0.708,1.325
brainstormforce.com,200,2,0.141,0.337,1.927,1.927,1.802,2.364,4.166
skysports.com,200,1,0.072,0.092,0.000,0.092,1.383,0.119,1.502
protect0r.com,200,0,1.522,1.683,0.000,1.683,0.000,1.844,1.844
buzzfeed.com,200,1,0.070,0.085,0.000,0.085,0.056,0.436,0.492
vidbull.com,200,0,0.032,0.048,0.000,0.048,0.000,0.472,0.472
imgur.com,200,0,1.525,1.544,0.000,1.544,0.000,1.567,1.567
clkmon.com,200,0,0.067,0.118,0.000,0.118,0.000,0.172,0.172
stackoverflow.com,200,0,0.524,0.539,0.000,0.539,0.000,0.714,0.714
jetblue.com,200,1,0.070,0.091,0.000,0.091,0.234,0.198,0.432
jamaicaobserver.com,200,1,1.532,1.593,0.000,1.593,0.207,1.628,1.835
top10binaryoption.net,200,0,0.132,0.174,0.000,0.174,0.000,0.228,0.228
soundcloud.com,200,1,0.005,0.023,0.153,0.153,0.485,0.399,0.884
bootyexpo.net,200,0,0.134,0.170,0.000,0.170,0.000,0.607,0.607
cbc.bb,200,0,1.524,1.612,0.000,1.613,0.000,2.747,2.747
liat.com,200,0,0.264,0.318,0.000,0.318,0.000,0.358,0.358
stackexchange.com,200,0,0.527,0.546,0.000,0.546,0.000,0.653,0.653
slideshare.net,200,1,0.522,0.563,0.000,0.563,0.255,0.690,0.945
ird.gov.bb,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
xda-developers.com,200,1,0.004,0.116,0.000,0.116,0.726,0.998,1.724
avg.com,200,2,0.000,0.019,0.000,0.019,1.347,0.521,1.868
thevideo.me,200,0,0.067,0.081,0.000,0.081,0.000,0.408,0.409
dramafever.com,200,1,0.130,0.168,0.000,0.168,0.241,0.362,0.602
hotnewhiphop.com,200,1,0.069,0.165,0.000,0.165,0.255,0.266,0.520
weltreiseforum.de,200,0,0.526,0.689,0.000,0.689,0.000,0.857,0.857
