website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
google.bg,200,1,0.035,0.082,0.000,0.082,0.154,0.155,0.309
facebook.com,200,2,0.035,0.068,0.164,0.164,0.833,0.276,1.108
google.com,200,1,0.032,0.051,0.000,0.051,0.114,0.120,0.233
youtube.com,200,2,0.015,0.029,0.173,0.173,0.220,0.253,0.472
abv.bg,200,1,0.269,0.456,0.000,0.456,0.646,0.651,1.297
olx.bg,200,0,1.525,1.720,0.000,1.720,0.000,2.020,2.020
vbox7.com,200,0,0.032,0.249,0.000,0.249,0.000,0.523,0.523
zamunda.net,200,1,0.000,0.195,0.000,0.195,0.477,0.470,0.947
wikipedia.org,200,2,0.136,0.159,0.272,0.273,0.380,0.298,0.678
dir.bg,200,1,0.272,0.473,0.000,0.473,0.669,0.680,1.349
arenabg.com,200,0,0.263,0.437,0.000,0.438,0.000,0.681,0.682
mobile.bg,200,1,1.534,1.739,0.000,1.739,2.067,1.947,4.013
linkedin.com,200,2,0.015,0.035,0.219,0.219,0.343,0.275,0.618
ebay.com,200,1,0.138,0.151,0.000,0.151,0.145,0.734,0.879
offnews.bg,200,0,0.266,0.466,0.000,0.466,0.000,0.909,0.909
blitz.bg,200,1,1.530,1.731,0.000,1.731,0.679,1.932,2.611
dnes.bg,200,1,0.532,0.851,0.000,0.851,1.951,2.276,4.227
sportal.bg,200,1,1.514,1.718,0.000,1.718,1.955,2.007,3.962
aliexpress.com,200,1,0.071,0.095,0.000,0.095,0.081,0.146,0.226
dnevnik.bg,200,1,1.534,1.742,0.000,1.742,1.959,2.063,4.022
vesti.bg,200,4,0.000,0.305,0.000,0.305,3.384,0.699,4.084
twitter.com,200,1,0.005,0.024,0.191,0.191,0.080,0.436,0.516
jobs.bg,200,1,0.529,0.727,0.000,0.727,1.920,0.958,2.879
yahoo.com,200,1,0.036,0.070,0.294,0.294,0.744,0.381,1.126
sinoptik.bg,200,1,0.000,0.225,0.000,0.225,1.020,0.514,1.535
amazon.com,200,1,0.036,0.151,0.000,0.151,0.257,0.276,0.533
emag.bg,200,1,1.530,1.760,0.000,1.760,2.166,2.213,4.379
bg-mamma.com,200,1,0.136,0.495,0.000,0.495,0.506,0.839,1.345
bongacams.com,200,1,0.005,0.072,0.356,0.356,0.465,0.800,1.265
blogspot.bg,200,1,0.005,0.031,0.000,0.031,0.581,0.101,0.682
amazon.co.uk,200,1,0.066,0.249,0.000,0.249,0.427,0.514,0.941
novini.bg,200,1,0.522,0.718,0.000,0.718,0.919,0.966,1.884
imdb.com,200,1,0.035,0.128,0.000,0.128,0.254,0.693,0.947
fbcdn.net,200,2,0.005,0.021,0.169,0.169,0.733,0.273,1.006
bazar.bg,200,1,0.005,0.207,1.031,1.031,0.999,1.345,2.343
trafficnews.bg,200,0,0.527,0.737,0.000,0.737,0.000,0.955,0.955
capital.bg,200,1,0.005,0.207,0.000,0.207,0.418,0.921,1.339
pik.bg,200,0,0.265,0.468,0.000,0.468,0.000,0.793,0.793
tumblr.com,200,1,0.524,0.540,0.671,0.671,0.203,0.920,1.123
dariknews.bg,200,0,0.269,0.583,0.000,0.583,0.000,0.891,0.891
cars.bg,200,1,0.528,0.726,0.000,0.726,1.959,0.944,2.903
ebay.co.uk,200,1,0.066,0.081,0.000,0.081,0.175,0.369,0.544
novatv.bg,200,0,0.269,0.496,0.000,0.496,0.000,0.802,0.802
gong.bg,200,3,0.000,0.222,0.000,0.222,2.262,0.716,2.978
stackoverflow.com,200,0,0.525,0.541,0.000,0.541,0.000,0.705,0.705
9gag.com,200,0,0.522,0.540,0.000,0.540,0.000,0.562,0.562
wordpress.com,200,1,0.005,0.018,0.158,0.158,0.076,0.186,0.262
instagram.com,200,1,0.032,0.045,0.195,0.196,0.243,0.455,0.699
booking.com,200,1,0.526,0.623,0.000,0.624,0.885,1.788,2.673
paypal.com,200,3,0.000,0.018,0.051,0.051,1.829,0.526,2.355
amazon.de,200,1,0.031,0.205,0.000,0.205,0.459,0.426,0.885
webcafe.bg,200,1,0.036,0.304,0.000,0.304,1.114,0.615,1.729
diply.com,200,0,0.033,0.075,0.000,0.076,0.000,0.174,0.174
pornhub.com,200,1,0.005,0.260,0.000,0.261,0.858,0.574,1.433
btvnovinite.bg,200,0,1.530,1.735,0.000,1.735,0.000,2.024,2.024
imot.bg,200,1,0.535,0.738,0.000,0.738,2.030,0.944,2.974
technopolis.bg,200,0,1.524,1.807,0.000,1.807,0.000,2.019,2.019
imgur.com,200,0,0.033,0.051,0.000,0.051,0.000,0.080,0.080
btv.bg,200,1,1.529,1.823,0.000,1.823,2.041,2.168,4.209
pazaruvaj.com,200,1,0.275,0.470,0.000,0.470,0.764,0.720,1.483
fakti.bg,200,0,0.522,0.731,0.000,0.731,0.000,1.113,1.114
10bet.com,200,1,0.138,0.151,0.000,0.151,0.488,0.352,0.840
rbb.bg,200,2,0.000,0.000,0.000,0.000,1.782,0.636,2.419
pinterest.com,200,2,1.532,1.617,1.934,1.934,0.235,2.394,2.629
zajenata.bg,200,1,0.526,0.814,0.000,0.814,1.108,1.121,2.228
mobile.de,200,1,0.036,0.205,0.000,0.205,0.610,0.424,1.034
petel.bg,200,0,0.524,0.807,0.000,0.807,0.000,1.139,1.139
adcash.com,200,2,0.000,0.000,0.000,0.000,0.608,0.181,0.789
reddit.com,200,2,0.005,0.090,0.451,0.451,0.960,0.644,1.604
mtel.bg,200,3,0.000,0.214,0.000,0.214,3.297,0.549,3.846
24chasa.bg,200,1,1.535,1.862,0.000,1.862,2.033,2.150,4.182
dskdirect.bg,200,1,0.530,0.727,1.570,1.570,1.919,1.978,3.896
apple.com,200,1,0.034,0.048,0.000,0.048,0.577,0.072,0.650
predpriemach.com,200,1,0.036,0.201,0.000,0.202,0.460,0.785,1.245
t.co,200,0,0.033,0.067,0.000,0.067,0.000,0.095,0.095
onclickads.net,200,1,0.035,0.207,0.000,0.207,0.364,0.411,0.775
bbc.com,200,1,0.526,0.548,0.000,0.548,0.345,0.730,1.075
government.bg,200,0,1.526,1.733,0.000,1.734,0.000,2.283,2.283
zora.bg,200,1,0.005,0.282,1.098,1.098,1.966,1.400,3.367
gbg.bg,200,1,0.271,0.514,0.000,0.514,0.798,0.818,1.616
