website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
google.com.br,200,1,0.060,0.074,0.000,0.074,0.125,0.141,0.266
facebook.com,200,2,0.067,0.081,0.174,0.174,1.042,0.275,1.317
youtube.com,200,2,0.015,0.042,0.181,0.181,0.247,0.234,0.481
google.com,200,1,0.073,0.091,0.000,0.091,0.113,0.161,0.274
uol.com.br,200,1,0.527,0.719,0.000,0.719,0.425,0.920,1.346
globo.com,200,2,0.066,0.290,0.000,0.290,0.854,0.540,1.394
live.com,200,3,0.528,0.610,0.921,0.921,1.057,1.010,2.067
msn.com,200,1,0.533,0.548,0.000,0.548,0.576,0.680,1.256
yahoo.com,200,1,0.532,0.846,1.249,1.249,0.288,1.396,1.684
mercadolivre.com.br,200,1,1.534,1.645,0.000,1.645,0.229,1.917,2.146
blogspot.com.br,404,0,0.014,0.037,0.000,0.037,0.000,0.162,0.162
bing.com,200,1,0.533,0.559,0.000,0.559,0.106,0.742,0.848
wikipedia.org,200,2,0.068,0.090,0.200,0.200,0.415,0.215,0.630
twitter.com,200,1,0.005,0.023,0.185,0.185,0.089,0.348,0.438
netflix.com,200,1,0.033,0.063,0.400,0.400,0.223,1.152,1.375
instagram.com,200,1,0.069,0.113,0.252,0.252,0.280,0.381,0.661
olx.com.br,200,1,0.519,0.537,0.000,0.537,0.499,0.813,1.312
americanas.com.br,200,1,0.067,0.080,0.000,0.080,0.187,0.158,0.345
xvideos.com,200,1,0.036,0.208,0.000,0.208,0.886,0.399,1.285
fatosdesconhecidos.com.br,200,1,0.067,1.082,0.000,1.082,0.592,1.283,1.875
abril.com.br,200,1,0.526,0.539,0.000,0.539,0.659,1.350,2.008
reclameaqui.com.br,200,0,0.270,0.470,0.000,0.470,0.000,0.680,0.681
whatsapp.com,200,1,1.524,1.549,1.677,1.677,0.564,1.696,2.261
linkedin.com,200,2,0.014,0.036,0.193,0.193,0.262,0.232,0.494
caixa.gov.br,302,9,0.000,0.380,0.000,0.380,4.512,0.000,4.892
wordpress.com,200,1,0.005,0.039,0.167,0.167,0.060,0.196,0.256
amazon.com,200,1,0.035,0.120,0.000,0.120,0.241,0.241,0.482
submarino.com.br,200,1,0.530,0.556,0.000,0.557,1.210,0.792,2.002
folha.uol.com.br,200,1,0.268,0.499,0.000,0.500,0.680,0.708,1.388
microsoft.com,200,2,0.000,0.000,0.000,0.000,0.751,0.405,1.156
itau.com.br,200,2,1.530,1.552,1.664,1.664,0.807,1.695,2.501
