website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
baidu.com,200,0,0.068,0.451,0.000,0.451,0.000,0.789,0.789
qq.com,302,1,0.015,0.028,0.000,0.029,3.889,0.000,4.116
taobao.com,200,3,0.015,0.038,0.367,0.038,0.962,0.064,1.026
sina.com.cn,200,1,1.527,1.542,0.000,1.542,0.735,1.565,2.301
weibo.com,200,1,0.531,0.706,0.000,0.706,0.667,0.894,1.561
hao123.com,200,1,0.527,0.738,0.000,0.738,0.440,0.967,1.407
360.cn,200,1,1.527,1.737,0.000,1.737,0.702,2.013,2.715
tmall.com,200,2,0.014,0.063,2.391,2.391,2.187,2.413,4.600
sohu.com,200,1,0.523,1.725,0.000,1.725,0.415,1.930,2.346
gmw.cn,200,0,0.033,0.283,0.000,0.283,0.000,0.580,0.580
tianya.cn,200,1,0.529,0.784,0.000,0.784,0.428,2.013,2.441
soso.com,200,1,1.531,1.812,0.000,1.812,1.653,2.118,3.771
xinhuanet.com,200,0,0.033,0.197,0.000,0.197,0.000,0.364,0.364
google.com.hk,200,1,0.035,0.066,0.000,0.066,0.123,0.132,0.255
chinadaily.com.cn,200,1,0.273,0.287,0.000,0.287,0.670,0.308,0.978
haosou.com,200,0,0.070,0.233,0.000,0.234,0.000,0.453,0.453
cntv.cn,200,1,0.035,0.051,0.000,0.051,0.566,0.073,0.639
sogou.com,200,2,0.014,0.244,1.425,1.425,1.006,2.679,3.684
china.com,200,0,0.068,0.333,0.000,0.333,0.000,0.602,0.602
jd.com,200,1,0.521,0.536,0.000,0.536,0.759,0.555,1.314
360.com,200,1,0.015,0.256,0.000,0.256,1.935,0.470,2.405
china.com.cn,200,1,0.535,0.555,0.000,0.556,0.605,1.130,1.735
alipay.com,200,1,0.524,1.809,2.514,2.514,0.411,2.936,3.347
youku.com,200,1,0.132,0.297,0.000,0.297,0.504,0.469,0.973
163.com,200,1,0.034,0.049,0.000,0.049,0.597,0.614,1.212
google.com,200,1,0.015,0.034,0.000,0.034,0.584,0.110,0.694
