website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
facebook.com,200,2,0.063,0.110,0.446,0.446,1.140,0.569,1.709
google.com,200,1,0.065,0.095,0.000,0.095,0.166,0.175,0.342
youtube.com,200,2,0.015,0.055,0.521,0.521,0.362,0.602,0.964
sigmalive.com,200,1,0.530,0.819,0.000,0.819,1.106,1.165,2.271
google.com.cy,200,1,0.031,0.087,0.000,0.087,1.660,0.162,1.822
philenews.com,200,1,0.530,0.817,0.000,0.817,1.076,1.524,2.600
fanpage.gr,200,0,1.533,1.715,0.000,1.715,0.000,1.899,1.899
tothemaonline.com,200,1,0.271,0.454,0.000,0.454,0.660,0.660,1.320
themasports.com,200,1,0.522,0.836,0.000,0.836,1.638,1.047,2.685
ant1iwo.com,200,1,0.015,0.311,0.000,0.311,0.587,0.546,1.133
politis-news.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
live.com,200,3,0.035,0.119,0.479,0.479,1.506,0.573,2.079
wikipedia.org,200,2,1.533,1.546,1.674,1.674,0.352,1.689,2.041
yahoo.com,200,1,0.527,0.563,0.817,0.817,0.597,0.925,1.522
linkedin.com,200,2,0.013,0.034,0.523,0.523,0.346,0.570,0.916
amazon.com,200,1,0.034,0.117,0.000,0.117,0.262,0.251,0.513
bankofcyprus.com,200,0,0.015,0.262,0.000,0.262,0.000,2.180,2.180
twitter.com,200,1,0.015,0.035,0.188,0.188,0.118,0.381,0.499
sugklonistiko.gr,200,0,1.532,1.722,0.000,1.722,0.000,2.229,2.229
tilestwra.com,200,1,0.070,0.258,0.000,0.258,1.004,0.446,1.450
blogspot.com.cy,404,0,0.014,0.032,0.000,0.032,0.000,0.076,0.076
imdb.com,200,1,0.035,0.127,0.000,0.127,0.222,0.888,1.110
ebay.co.uk,200,1,0.530,0.557,0.000,0.557,1.678,0.797,2.475
amazon.co.uk,200,1,0.031,0.354,0.000,0.354,0.420,0.657,1.077
ebay.com,200,1,0.525,0.539,0.000,0.539,0.120,1.089,1.209
diaforetiko.gr,200,1,0.069,0.251,0.000,0.251,0.896,0.457,1.354
kerkida.net,200,1,0.031,0.045,0.000,0.045,0.256,0.210,0.466
aliexpress.com,200,1,1.532,1.553,0.000,1.553,0.107,1.628,1.735
paypal.com,200,3,0.000,0.029,0.065,0.065,2.023,0.402,2.424
bazaraki.com,200,0,0.016,0.221,0.000,0.222,0.000,4.174,4.174
bet365.com,200,2,0.000,0.000,0.000,0.000,0.993,0.622,1.615
diply.com,200,0,0.531,0.613,0.000,0.613,0.000,0.729,0.729
alibaba.com,200,1,0.064,0.087,0.000,0.088,0.081,0.136,0.217
bankofcyprus.com.cy,200,0,1.532,1.870,0.000,1.870,0.000,2.195,2.196
cyprusnews.eu,200,0,0.532,0.544,0.000,0.544,0.000,0.748,0.748
pinterest.com,200,2,0.071,0.157,0.472,0.472,0.308,0.645,0.953
msn.com,200,1,0.064,0.080,0.000,0.080,0.086,0.199,0.285
kat.cr,301,1,0.015,0.105,0.000,0.000,1.088,0.000,6.005
instagram.com,200,1,0.531,0.562,0.710,0.710,0.285,0.836,1.121
google.co.uk,200,1,0.035,0.048,0.000,0.048,0.126,0.122,0.248
t.co,200,0,0.031,0.048,0.000,0.048,0.000,0.071,0.071
offsite.com.cy,200,0,0.268,0.440,0.000,0.440,0.000,0.610,0.610
booking.com,200,1,0.529,0.612,0.000,0.612,0.923,1.553,2.476
pornhub.com,200,1,0.015,0.228,0.000,0.228,0.374,0.481,0.856
omonoianews.com,200,0,0.133,0.145,0.000,0.145,0.000,0.491,0.491
xvideos.com,200,1,0.068,0.285,0.000,0.286,0.493,0.531,1.024
hellenicnetbanking.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
