website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
youtube.com,200,2,0.014,0.040,0.193,0.193,0.272,0.246,0.518
facebook.com,200,2,0.066,0.089,0.192,0.192,2.237,0.300,2.537
google.com,200,1,0.067,0.090,0.000,0.090,0.117,0.166,0.283
google.com.do,200,1,0.029,0.045,0.000,0.045,0.188,0.101,0.289
amazon.com,200,1,0.032,0.118,0.000,0.118,0.317,0.243,0.560
live.com,200,3,0.531,0.610,0.940,0.940,1.130,1.041,2.171
listindiario.com,200,0,0.133,1.180,0.000,1.180,0.000,1.276,1.276
ebay.com,200,1,0.524,0.538,0.000,0.538,0.091,1.058,1.148
yahoo.com,200,1,0.036,0.070,0.293,0.293,0.621,0.415,1.036
wikipedia.org,200,2,0.035,0.060,0.182,0.182,0.309,0.198,0.507
twitter.com,200,1,0.014,0.040,0.186,0.187,0.143,0.362,0.505
blogspot.com,200,6,0.001,0.017,0.044,0.044,1.013,0.139,1.151
instagram.com,200,1,0.525,0.545,0.697,0.697,0.239,1.076,1.315
netflix.com,200,1,0.531,0.592,0.790,0.790,0.249,1.397,1.647
bpd.com.do,200,1,1.520,1.628,2.772,2.772,1.074,2.911,3.985
msn.com,200,1,0.526,0.542,0.000,0.542,0.072,0.656,0.728
mp3teca.com,200,0,0.136,0.210,0.000,0.210,0.000,0.730,0.730
popularenlinea.com,200,1,0.014,0.125,0.762,0.762,0.251,0.919,1.169
onclickads.net,200,1,0.524,0.699,0.000,0.700,0.464,0.912,1.375
corotos.com.do,200,1,0.069,0.110,0.000,0.110,0.283,0.355,0.637
diariolibre.com,200,1,0.072,0.111,0.000,0.111,0.334,0.155,0.488
xvideos.com,200,1,0.035,0.215,0.000,0.216,0.542,0.410,0.952
uptodown.com,200,1,0.134,0.169,0.000,0.169,0.170,1.151,1.321
bhdleon.com.do,200,0,0.260,0.383,0.000,0.383,0.000,0.500,0.500
paypal.com,200,3,0.000,0.022,0.062,0.062,1.712,0.314,2.027
whatsapp.com,200,1,0.030,0.053,0.205,0.205,0.106,0.235,0.342
gob.do,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.008
adnetworkperformance.com,200,0,0.067,0.117,0.000,0.117,0.000,0.168,0.168
google.es,200,1,0.029,0.044,0.000,0.044,0.123,0.111,0.234
banreservas.com.do,200,1,1.527,1.652,0.000,1.652,0.517,2.151,2.668
remolacha.net,200,0,0.067,0.084,0.000,0.084,0.000,0.125,0.126
ask.com,200,1,0.071,0.085,0.000,0.085,0.257,0.216,0.473
t.co,200,0,0.067,0.097,0.000,0.097,0.000,0.118,0.118
bsmovil.com,200,0,0.134,0.207,0.000,0.207,0.000,0.315,0.315
elcaribe.com.do,200,0,0.071,0.205,0.000,0.205,0.000,0.465,0.465
elnacional.com.do,200,0,0.068,0.095,0.000,0.095,0.000,0.258,0.258
outbrain.com,200,1,0.530,0.549,0.000,0.549,0.658,0.716,1.375
adf.ly,200,0,0.033,0.053,0.000,0.053,0.000,0.205,0.206
wordpress.com,200,1,0.015,0.030,0.171,0.171,1.566,0.205,1.772
blogger.com,200,6,0.000,0.023,0.048,0.048,0.970,0.175,1.145
alibaba.com,200,1,1.534,1.558,0.000,1.559,0.116,1.597,1.712
mega.nz,200,1,0.015,0.205,1.268,1.268,0.430,1.444,1.874
hoy.com.do,200,0,0.133,0.149,0.000,0.149,0.000,0.320,0.320
emarket.do,200,0,0.262,0.340,0.000,0.340,0.000,0.409,0.409
linkedin.com,200,2,0.015,0.036,0.209,0.209,0.207,0.251,0.457
acento.com.do,200,0,0.130,0.217,0.000,0.217,0.000,0.331,0.331
bmcargo.com,200,0,0.136,0.189,0.000,0.190,0.000,0.316,0.317
noticiassin.com,200,1,0.066,0.080,0.000,0.080,1.123,2.214,3.337
microsoft.com,200,2,0.000,0.000,0.000,0.000,0.278,0.288,0.565
supercarros.com,200,1,0.132,0.144,0.000,0.144,0.117,0.172,0.289
go.com,200,0,0.134,0.161,0.000,0.161,0.000,0.188,0.188
uasd.edu.do,200,0,0.067,0.103,0.000,0.103,0.000,1.426,1.426
elnuevodiario.com.do,200,1,0.000,0.000,0.000,0.000,0.355,0.031,0.386
apple.com,200,1,0.067,0.081,0.000,0.081,0.569,0.135,0.704
pinterest.com,200,2,0.521,0.613,0.932,0.932,0.224,1.582,1.806
eldia.com.do,200,0,0.068,0.095,0.000,0.095,0.000,4.163,4.164
espn.go.com,200,0,0.525,0.569,0.000,0.569,0.000,0.601,0.601
taringa.net,200,1,0.065,0.076,0.000,0.076,2.740,1.577,4.317
kat.cr,301,1,0.014,3.474,4.162,0.000,1.040,0.000,5.202
imdb.com,200,1,0.035,0.118,0.000,0.118,0.277,0.863,1.139
directrev.com,200,1,0.531,0.561,0.000,0.561,0.374,0.583,0.958
xnxx.com,200,1,0.068,0.382,0.000,0.382,0.879,0.691,1.569
animeflv.net,200,0,0.071,0.112,0.000,0.112,0.000,0.493,0.493
scotiabank.com,200,1,0.530,0.542,0.000,0.542,0.104,1.525,1.629
bing.com,200,1,0.073,0.084,0.000,0.084,0.065,0.158,0.223
friv.com,200,0,0.131,0.186,0.000,0.186,0.000,0.241,0.242
alofokemusic.net,200,0,1.531,1.545,0.000,1.545,0.000,1.689,1.690
adplxmd.com,200,0,0.014,0.036,0.000,0.036,0.000,0.095,0.095
aldaba.com,200,1,0.135,0.310,0.000,0.310,1.890,0.669,2.559
banreservas.com,200,1,0.015,0.122,0.000,0.122,1.753,0.499,2.252
popads.net,200,2,0.012,0.052,0.235,0.235,1.394,0.525,1.919
dgii.gov.do,200,1,0.000,0.156,0.000,0.156,0.337,0.810,1.147
youtube-mp3.org,200,1,0.522,0.716,0.000,0.716,0.388,0.898,1.286
all2lnk.com,200,0,0.068,0.283,0.000,0.283,0.000,0.519,0.519
cnn.com,200,1,0.533,0.548,0.000,0.548,0.715,0.571,1.287
claro.com.do,200,3,0.000,0.000,0.000,0.000,1.034,0.092,1.126
mediafire.com,200,2,0.531,0.620,1.105,1.105,0.685,1.185,1.870
rt.com,200,1,0.269,0.412,0.847,0.847,0.369,0.944,1.313
flirchi.com,200,1,0.013,0.228,1.212,1.212,0.653,1.737,2.389
livio.com,200,1,0.065,0.082,0.000,0.082,0.247,0.443,0.690
pornhub.com,200,1,0.015,0.180,0.000,0.180,0.358,0.410,0.768
aliexpress.com,200,1,0.068,0.083,0.000,0.083,0.097,0.152,0.249
dropbox.com,200,2,0.529,0.564,0.674,0.674,0.305,1.080,1.385
almomento.net,200,0,0.137,0.190,0.000,0.190,0.000,0.248,0.248
vodoumedia.com,403,0,0.013,0.249,0.000,0.249,0.000,0.566,0.566
terraclicks.com,200,0,0.014,0.119,0.000,0.119,0.000,0.234,0.234
reddit.com,200,2,0.012,0.113,0.488,0.488,1.423,0.691,2.114
mercadolibre.com.do,200,1,1.531,1.620,0.000,1.620,0.335,1.769,2.104
wikia.com,200,2,0.000,0.000,0.000,0.000,0.603,0.019,0.622
tumblr.com,200,1,0.521,0.604,0.979,0.979,0.233,1.246,1.479
imgur.com,200,0,0.067,0.078,0.000,0.078,0.000,0.162,0.162
tradeadexchange.com,200,0,0.033,0.091,0.000,0.091,0.000,0.149,0.149
orange.com.do,200,1,0.000,0.112,0.000,0.112,0.697,0.789,1.486
lapulga.com.do,200,0,0.071,0.133,0.000,0.133,0.000,0.380,0.380
softonic.com,200,1,0.530,0.775,0.000,0.775,0.446,0.993,1.439
bongacams.com,200,1,0.014,0.097,0.381,0.381,0.482,0.778,1.261
nametests.com,200,0,0.072,0.095,0.000,0.095,0.000,0.436,0.436
ensegundos.do,200,0,0.132,0.204,0.000,0.204,0.000,0.593,0.593
bbc.com,200,1,0.526,0.568,0.000,0.568,0.424,0.737,1.161
wordreference.com,200,0,0.065,0.151,0.000,0.151,0.000,0.260,0.260
nba.com,200,1,0.528,0.540,0.000,0.540,0.220,0.636,0.857
mega.co.nz,200,1,0.014,0.186,1.169,1.169,0.438,1.342,1.780
addthis.com,200,1,0.034,0.046,0.000,0.046,0.111,0.290,0.401
godaddy.com,200,1,0.527,0.543,0.708,0.709,0.130,0.942,1.072
stackoverflow.com,200,0,0.523,0.545,0.000,0.545,0.000,0.728,0.728
z101digital.com,200,1,0.000,0.000,0.000,0.000,0.324,0.395,0.719
badoo.com,200,0,0.134,0.228,0.000,0.228,0.000,0.414,0.414
liveadexchanger.com,200,0,0.530,0.579,0.000,0.579,0.000,0.628,0.628
tagged.com,200,1,0.004,0.017,0.000,0.017,0.079,0.169,0.248
intercambiosvirtuales.org,200,1,0.265,0.280,0.000,0.280,1.142,1.280,2.422
animeid.tv,503,0,0.014,0.027,0.000,0.027,0.000,0.043,0.044
soundcloud.com,200,1,0.014,0.038,0.379,0.379,0.427,0.640,1.068
reimageplus.com,200,1,0.015,0.077,0.000,0.077,0.159,0.165,0.324
leidsa.com,200,1,0.069,0.086,0.000,0.086,0.198,0.205,0.402
slideshare.net,200,1,0.071,0.099,0.000,0.099,0.221,0.255,0.476
bp.blogspot.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
loteriasdominicanas.com,200,0,0.068,0.169,0.000,0.169,0.000,0.404,0.404
pelis24.com,200,0,0.072,0.104,0.000,0.104,0.000,0.133,0.133
cnet.com,200,1,0.133,0.268,0.000,0.268,0.129,0.900,1.029
lidom.com,200,2,0.000,0.000,0.000,0.000,2.035,0.071,2.106
xl415.com,200,0,0.136,0.316,0.000,0.316,0.000,0.501,0.501
progreso.com.do,200,0,1.534,1.682,0.000,1.682,0.000,2.190,2.190
seriesflv.net,200,1,0.035,0.048,0.000,0.048,0.173,0.477,0.650
smrtgs.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.007
verseriesynovelas.tv,503,0,0.014,0.032,0.000,0.032,0.000,0.051,0.051
xuite.net,200,0,0.034,0.227,0.000,0.227,0.000,0.524,0.524
cdn.com.do,200,1,0.072,0.178,0.000,0.178,0.597,0.619,1.216
googleusercontent.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
mlb.com,200,1,0.527,0.539,0.000,0.539,0.195,0.588,0.784
juegos.com,200,1,0.536,0.548,0.000,0.549,0.509,0.934,1.443
eps-int.com,200,0,1.529,1.666,0.000,1.666,0.000,1.833,1.833
repelis.tv,200,1,0.069,0.083,0.000,0.083,0.096,0.108,0.204
github.com,200,1,0.015,0.096,0.433,0.433,0.215,2.202,2.417
adcash.com,200,2,0.000,0.000,0.000,0.000,0.566,0.148,0.714
office.com,200,1,0.070,0.124,0.448,0.448,0.214,0.596,0.810
jetblue.com,200,1,0.525,0.550,0.000,0.550,0.217,0.874,1.091
loading-delivery2.com,200,0,0.065,0.235,0.000,0.235,0.000,1.856,1.856
booking.com,200,1,0.525,0.609,0.000,0.609,0.887,1.638,2.526
adobe.com,200,1,0.141,0.196,0.000,0.196,0.722,0.223,0.945
leadzu.com,200,2,0.000,0.303,0.000,0.303,2.588,0.658,3.246
spaceshipads.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
