website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
facebook.com,200,2,0.069,0.088,0.214,0.214,0.772,0.417,1.190
youtube.com,200,2,0.015,0.040,0.174,0.174,0.699,0.248,0.946
google.com,200,1,0.068,0.081,0.000,0.081,0.138,0.160,0.298
google.dz,200,1,0.133,0.154,0.000,0.154,1.612,0.237,1.849
yahoo.com,200,1,0.066,0.101,0.342,0.342,0.148,0.440,0.588
ask.com,200,1,0.530,0.546,0.000,0.546,0.267,0.683,0.949
google.fr,200,1,0.032,0.046,0.000,0.046,0.138,0.117,0.255
blogspot.com,200,6,0.000,0.024,0.046,0.046,1.351,0.145,1.495
xnxx.com,200,1,1.534,1.704,0.000,1.704,0.624,1.898,2.522
ouedkniss.com,200,1,1.530,1.689,0.000,1.689,1.901,1.857,3.758
onclickads.net,200,1,0.068,1.260,0.000,1.260,1.472,1.478,2.950
wikipedia.org,200,2,0.031,0.046,0.160,0.160,0.340,0.184,0.524
adnetworkperformance.com,200,0,0.067,0.134,0.000,0.134,0.000,0.198,0.198
flirchi.com,200,1,0.013,0.226,1.120,1.120,0.599,1.649,2.247
all2lnk.com,200,0,0.066,0.297,0.000,0.297,0.000,0.625,0.625
live.com,200,3,0.529,0.620,1.052,1.052,1.103,1.155,2.258
alibaba.com,200,1,0.528,0.575,0.000,0.575,0.146,0.611,0.757
predictivadvertising.com,200,0,0.018,0.072,0.000,0.072,0.000,0.127,0.127
echoroukonline.com,200,2,0.000,0.000,0.000,0.000,1.201,0.237,1.438
xvideos.com,200,1,0.069,0.297,0.000,0.297,0.416,0.604,1.020
akamaihd.net,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.007
djelfa.info,200,0,1.538,1.706,0.000,1.706,0.000,1.882,1.883
startimes.com,200,1,0.524,0.544,0.000,0.544,0.177,0.616,0.793
ennaharonline.com,200,2,0.000,0.000,0.000,0.000,0.865,0.201,1.067
bongacams.com,200,1,0.004,0.070,0.349,0.349,0.879,0.833,1.713
twitter.com,200,1,0.014,0.034,0.705,0.705,1.571,0.899,2.470
mystart.com,200,1,1.534,1.605,2.009,2.009,0.223,2.252,2.474
elheddaf.com,200,1,0.070,0.087,0.000,0.087,0.471,0.257,0.729
elbilad.net,200,1,0.136,0.161,0.000,0.161,0.228,0.331,0.559
elkhabar.com,200,1,0.035,0.048,0.000,0.048,0.530,0.519,1.050
msn.com,200,1,0.526,0.542,0.000,0.542,1.125,0.661,1.786
adf.ly,200,0,0.135,0.148,0.000,0.149,0.000,0.316,0.317
kooora.com,200,1,0.531,0.548,0.000,0.548,0.127,0.563,0.690
amazon.com,200,1,0.034,0.122,0.000,0.122,0.275,0.241,0.516
blogger.com,200,6,0.000,0.033,0.072,0.072,2.902,0.204,3.106
loading-delivery2.com,200,0,0.013,0.188,0.000,0.188,0.000,1.815,1.815
spaceshipads.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.008
reimageplus.com,200,1,0.035,0.105,0.000,0.105,0.174,0.205,0.379
ampxchange.com,200,1,0.528,0.558,0.000,0.558,0.246,0.580,0.826
mbc.net,200,2,0.000,0.000,0.000,0.000,0.767,0.035,0.802
liveadexchanger.com,200,0,0.072,0.130,0.000,0.130,0.000,0.187,0.187
xhamster.com,200,0,0.067,0.241,0.000,0.241,0.000,0.472,0.472
ad4game.com,200,1,0.015,0.101,0.000,0.101,0.192,0.191,0.383
microsoft.com,200,2,0.000,0.000,0.000,0.000,0.306,0.461,0.767
dailymotion.com,200,2,0.000,0.000,0.000,0.000,1.296,0.462,1.757
pornhub.com,200,1,0.032,0.200,0.000,0.200,0.405,0.425,0.829
mediafire.com,200,2,0.067,0.129,0.406,0.406,0.786,0.612,1.398
plarium.com,200,0,0.030,0.108,0.000,0.108,0.000,0.195,0.195
gamgos.ae,200,0,0.265,0.479,0.000,0.479,0.000,0.751,0.751
adplxmd.com,200,0,0.067,0.088,0.000,0.088,0.000,0.156,0.157
fibladi.dz,200,0,0.532,0.696,0.000,0.696,0.000,1.145,1.145
mydomainadvisor.com,200,0,0.063,0.134,0.000,0.134,0.000,3.229,3.229
commentcamarche.net,200,1,0.064,0.090,0.000,0.090,0.409,0.279,0.688
aliexpress.com,200,1,0.531,0.553,0.000,0.553,0.110,0.650,0.760
inspsearch.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
xl415.com,200,0,0.135,0.328,0.000,0.328,0.000,0.522,0.522
tradeadexchange.com,200,0,0.033,1.103,0.000,1.103,0.000,1.168,1.168
searchpile.com,200,0,0.018,0.064,0.000,0.064,0.000,0.125,0.126
uptodown.com,200,1,1.537,1.551,0.000,1.551,0.122,1.654,1.776
instagram.com,200,1,0.064,0.092,0.248,0.248,0.260,0.389,0.649
elkhadra.com,200,1,0.033,0.048,0.000,0.048,0.731,1.537,2.267
id.net,200,2,0.015,0.211,0.983,0.983,1.014,1.372,2.386
tsa-algerie.com,200,1,0.270,0.447,0.000,0.447,1.270,0.837,2.107
singlessalad.com,200,0,0.131,0.302,0.000,0.302,0.000,0.604,0.604
superinterstitial.com,200,0,0.014,0.181,0.000,0.181,0.000,0.354,0.354
ttt4.com,200,1,0.073,0.147,0.000,0.147,0.232,0.236,0.468
paypal.com,200,3,0.000,0.021,0.078,0.078,2.994,0.612,3.606
megapopads.com,200,0,0.527,0.693,0.000,0.693,0.000,0.857,0.857
softonic.com,200,1,0.068,1.254,0.000,1.254,0.415,1.507,1.922
adservingsolutionsinc.com,200,0,0.017,0.105,0.000,0.105,0.000,0.217,0.217
mawdoo3.com,200,1,0.000,0.000,0.000,0.000,0.176,0.080,0.256
4shared.com,200,1,0.015,0.076,0.000,0.076,0.687,0.145,0.832
quizzzat.net,200,0,0.068,0.154,0.000,0.154,0.000,0.263,0.263
ency-education.com,200,1,0.133,0.160,0.000,0.160,0.170,0.231,0.402
sweets-pages.com,200,0,0.269,0.444,0.000,0.444,0.000,0.682,0.683
mozilla.org,200,2,0.000,0.000,0.000,0.000,0.361,0.038,0.399
coolkora.com,200,1,0.070,0.120,0.000,0.120,0.460,0.444,0.904
linkedin.com,200,2,0.012,0.039,0.207,0.208,0.697,0.259,0.956
nmisr.com,200,2,0.072,0.094,0.311,0.311,0.869,0.536,1.405
poste.dz,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
wordpress.com,200,1,0.015,0.034,0.185,0.185,0.109,0.214,0.323
layalina.com,200,1,0.064,0.076,0.000,0.076,0.873,0.706,1.579
autobip.com,200,1,0.271,0.432,0.000,0.432,0.621,0.606,1.227
bing.com,200,1,0.522,0.533,0.000,0.533,0.124,0.626,0.750
internetdownloadmanager.com,200,0,0.031,0.084,0.000,0.084,0.000,0.145,0.145
star7arab.com,200,0,0.274,0.432,0.000,0.433,0.000,0.772,0.772
localmoxie.com,200,0,0.264,0.362,0.000,0.362,0.000,0.543,0.543
yalla-shoot.com,200,1,0.069,0.090,0.000,0.090,0.196,0.141,0.337
skype.com,200,2,0.000,0.000,0.000,0.000,0.680,0.057,0.736
01net.com,200,1,0.265,0.434,0.000,0.434,0.763,0.608,1.372
adobe.com,200,1,0.529,0.556,0.000,0.556,0.158,0.606,0.764
rdsa2012.com,200,0,0.013,0.107,0.000,0.107,0.000,0.168,0.168
jeu.info,200,0,0.529,0.697,0.000,0.697,0.000,0.890,0.890
youporn.com,200,1,0.013,0.179,0.000,0.180,0.377,0.356,0.733
terraclicks.com,200,0,0.133,0.232,0.000,0.232,0.000,0.355,0.355
kat.cr,301,1,0.015,0.100,0.000,0.000,2.478,0.000,7.009
t.co,200,0,0.033,0.058,0.000,0.058,0.000,0.079,0.079
staticwebdom.com,200,0,0.014,0.105,0.000,0.105,0.000,0.223,0.223
webssearches.com,200,0,0.068,0.101,0.000,0.101,0.000,0.132,0.132
myplaycity.com,200,1,0.069,0.162,0.000,0.162,0.333,0.331,0.664
blogspot.com.eg,404,0,0.017,0.033,0.000,0.033,0.000,0.269,0.269
hotchatdate.com,403,0,0.014,0.201,0.000,0.201,0.000,0.368,0.368
protect0r.com,200,0,1.529,1.698,0.000,1.698,0.000,1.874,1.874
youtube-mp3.org,200,1,0.534,0.802,0.000,0.802,0.394,1.127,1.521
i2symbol.com,200,1,0.015,0.107,0.000,0.107,0.314,0.950,1.263
contentabc.com,000,0,0.015,0.000,0.000,0.000,0.000,0.000,2.224
aljazeera.net,200,2,0.000,0.000,0.000,0.000,1.003,0.016,1.019
mmtrkam.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
videodownloadconverter.com,200,1,0.137,0.167,0.000,0.168,0.211,0.206,0.418
tumblr.com,200,1,0.133,0.151,0.267,0.267,0.214,0.522,0.737
aljaras.com,200,1,0.068,0.115,0.000,0.115,0.938,0.185,1.123
savefrom.net,200,1,0.015,0.182,0.000,0.182,0.396,0.382,0.778
dzmeteo.com,200,0,0.266,0.456,0.000,0.456,0.000,0.714,0.714
tukif.com,200,1,0.035,0.048,0.000,0.048,0.523,0.087,0.610
cpasbien.io,503,0,0.018,0.042,0.000,0.042,0.000,0.067,0.067
islamweb.net,200,1,0.000,0.000,0.000,0.000,0.253,0.118,0.371
bestairboattours.com,200,1,0.523,0.543,0.000,0.543,0.258,0.570,0.828
th3professional.com,200,1,0.067,0.079,0.000,0.079,0.200,0.161,0.361
