website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
google.com.gh,200,1,0.139,1.359,0.000,1.359,0.157,1.581,1.739
google.com,200,1,0.005,0.186,0.000,0.186,0.032,0.399,0.431
facebook.com,200,2,0.015,0.092,0.369,0.369,0.646,0.510,1.156
youtube.com,200,2,0.005,0.008,0.162,0.162,0.722,0.200,0.921
yahoo.com,200,1,0.525,0.551,0.781,0.781,0.067,0.870,0.937
ghanaweb.com,200,2,0.000,0.000,0.000,0.000,0.450,0.132,0.583
ask.com,200,1,0.131,0.145,0.000,0.145,0.178,0.368,0.547
twitter.com,200,1,0.004,0.014,0.189,0.189,0.035,0.354,0.389
myjoyonline.com,200,0,0.127,0.204,0.000,0.204,0.000,0.617,0.617
pulse.com.gh,200,0,0.065,0.233,0.000,0.233,0.000,0.415,0.415
amazon.com,200,1,0.014,0.109,0.000,0.109,0.257,0.236,0.492
wikipedia.org,200,2,0.133,0.136,0.189,0.189,0.297,0.195,0.492
citifmonline.com,200,0,0.065,0.087,0.000,0.087,0.000,1.043,1.043
kat.cr,200,1,0.004,0.163,0.775,0.775,0.603,1.091,1.694
alibaba.com,200,1,0.514,0.521,0.000,0.521,0.051,0.546,0.596
t.co,200,0,0.015,0.023,0.000,0.023,0.000,0.035,0.035
instagram.com,200,1,0.522,0.596,0.967,0.967,0.293,1.143,1.436
trackingclick.net,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
peacefmonline.com,200,0,0.063,0.085,0.000,0.085,0.000,0.129,0.129
tisu.com.gh,200,1,0.032,0.126,0.000,0.126,0.254,0.749,1.003
xvideos.com,200,1,0.129,0.277,0.000,0.277,0.465,0.442,0.907
tonaton.com,200,0,2.520,2.536,0.000,2.536,0.000,3.218,3.218
goal.com,200,1,1.538,1.554,0.000,1.554,0.553,1.833,2.386
adnetworkperformance.com,200,0,0.029,0.079,0.000,0.079,0.000,0.128,0.129
linkedin.com,200,2,0.005,0.017,0.435,0.435,1.208,0.465,1.673
bbc.com,200,1,1.525,1.537,0.000,1.537,0.362,1.707,2.069
blogspot.com,200,6,0.000,0.004,0.012,0.012,1.216,0.091,1.307
graphic.com.gh,200,1,0.005,0.062,0.000,0.062,0.119,4.170,4.289
onclickads.net,200,1,0.014,0.174,0.000,0.174,0.337,0.368,0.706
mystart.com,200,1,0.004,0.071,0.487,0.487,0.141,0.629,0.770
starrfmonline.com,200,0,0.064,0.086,0.000,0.086,0.000,0.109,0.109
live.com,200,3,0.033,0.103,0.441,0.442,1.053,0.581,1.634
ilovemobi.com,200,0,0.132,0.184,0.000,0.184,0.000,0.242,0.243
whatsapp.com,200,1,0.014,0.087,0.436,0.437,0.158,0.518,0.676
kasapafmonline.com,200,0,0.062,0.084,0.000,0.084,0.000,0.980,0.980
surflinegh.com,200,1,0.000,0.000,0.000,0.000,1.208,0.623,1.831
jumia.com.gh,200,2,0.004,0.155,0.829,0.829,0.677,1.315,1.992
