website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
google.com,200,1,0.517,0.718,0.000,0.718,0.197,0.948,1.145
google.co.il,200,1,0.130,0.322,0.000,0.322,0.203,0.630,0.834
facebook.com,200,2,0.065,0.152,0.472,0.472,1.213,0.640,1.852
youtube.com,200,2,0.005,0.019,0.665,0.665,0.847,0.876,1.723
linkedin.com,200,2,0.014,0.037,0.506,0.506,0.695,0.636,1.331
ynet.co.il,200,2,0.000,0.000,0.000,0.000,0.654,0.184,0.838
panet.co.il,200,0,0.519,0.820,0.000,0.820,0.000,1.058,1.058
wikipedia.org,200,2,0.136,0.149,0.278,0.278,0.699,0.298,0.997
walla.co.il,200,1,0.262,0.294,0.000,0.294,0.624,0.318,0.942
amazon.com,200,1,0.030,0.131,0.000,0.131,0.267,0.282,0.548
yahoo.com,200,1,0.031,0.073,0.668,0.668,0.250,0.814,1.064
sekindo.com,200,1,0.065,0.389,0.000,0.389,0.547,0.632,1.179
ebay.com,200,1,0.521,0.550,0.000,0.550,0.123,0.843,0.966
mako.co.il,200,1,0.014,0.041,0.000,0.042,0.515,0.938,1.453
yad2.co.il,200,1,0.268,0.614,0.000,0.614,0.887,0.922,1.809
aliexpress.com,200,1,0.064,0.091,0.000,0.092,0.096,0.151,0.247
twitter.com,200,1,0.005,0.034,0.718,0.718,0.120,0.952,1.072
bankhapoalim.co.il,200,1,0.530,1.789,2.832,2.833,0.755,3.098,3.853
outbrain.com,200,1,0.035,0.061,0.000,0.062,0.201,0.317,0.518
paypal.com,200,3,0.000,0.039,0.074,0.074,2.314,0.400,2.714
salesforce.com,200,1,0.069,0.182,1.018,1.018,0.286,1.548,1.834
live.com,200,3,0.526,0.616,0.940,0.940,1.490,1.076,2.566
zap.co.il,200,1,0.032,0.292,0.000,0.292,0.590,0.611,1.201
bongacams.com,200,1,0.004,0.100,0.945,0.945,0.956,1.477,2.433
onclickads.net,200,1,0.523,0.707,0.000,0.707,0.439,0.925,1.364
expert-offers.com,200,1,0.005,0.248,0.000,0.249,0.646,0.525,1.171
alibaba.com,200,1,0.526,0.553,0.000,0.553,0.079,0.591,0.670
imdb.com,200,1,0.516,0.658,0.000,0.658,0.248,1.259,1.508
bankleumi.co.il,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
msn.com,200,1,0.134,0.171,0.000,0.171,0.115,0.280,0.396
alarab.com,200,1,0.133,0.352,0.000,0.352,1.571,0.605,2.176
sport5.co.il,200,1,0.064,0.312,0.000,0.312,0.842,0.561,1.403
apple.com,200,1,0.523,0.541,0.000,0.541,0.101,0.563,0.664
aol.com,200,1,1.534,1.556,0.000,1.556,0.329,1.851,2.180
globes.co.il,200,1,0.263,0.505,0.000,0.505,1.821,0.801,2.623
themarker.com,200,1,1.527,1.554,0.000,1.554,0.925,1.624,2.549
instagram.com,200,1,1.530,1.630,2.349,2.349,0.368,2.481,2.849
one.co.il,200,0,0.066,0.317,0.000,0.318,0.000,3.275,3.275
force.com,200,2,0.004,0.145,0.000,0.145,1.983,0.614,2.597
haaretz.co.il,200,1,1.531,1.562,0.000,1.562,0.760,2.342,3.101
stackoverflow.com,200,0,0.523,0.548,0.000,0.548,0.000,0.717,0.718
whatsapp.com,200,1,0.529,0.555,1.092,1.092,0.587,1.118,1.706
calcalist.co.il,200,2,0.000,0.000,0.000,0.000,1.220,0.189,1.408
alpha.co.il,200,1,0.528,0.763,0.000,0.763,0.910,1.042,1.952
pinterest.com,200,2,0.132,0.241,0.641,0.641,0.629,0.826,1.455
rotter.net,200,0,0.268,0.647,0.000,0.647,0.000,0.943,0.943
microsoft.com,200,2,0.000,0.000,0.000,0.000,0.232,0.468,0.700
ask.com,200,1,0.267,0.293,0.000,0.293,0.344,0.455,0.799
nana10.co.il,200,1,1.526,1.843,0.000,1.843,0.905,2.103,3.008
googleusercontent.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
morfix.co.il,200,1,1.522,1.552,0.000,1.552,1.106,1.857,2.963
maariv.co.il,200,1,0.529,0.554,0.000,0.554,1.097,0.587,1.683
shasha.ps,200,1,0.033,0.048,0.000,0.048,0.521,0.510,1.031
nrg.co.il,200,1,0.134,0.159,0.000,0.159,0.220,0.207,0.428
dropbox.com,200,2,1.530,1.553,1.658,1.658,0.913,1.923,2.837
leumi.co.il,200,1,0.529,0.831,0.000,0.831,1.994,1.459,3.454
adnetworkperformance.com,200,0,0.067,0.122,0.000,0.122,0.000,0.194,0.194
ok.ru,200,0,0.264,0.480,0.000,0.480,0.000,0.764,0.764
maccabi4u.co.il,200,2,0.000,0.000,0.000,0.000,1.152,0.242,1.394
wix.com,200,1,0.528,0.552,0.000,0.552,0.640,0.622,1.262
wordpress.com,200,1,0.005,0.030,0.665,0.665,0.114,0.863,0.977
t.co,200,0,0.066,0.115,0.000,0.115,0.000,0.137,0.137
tapuz.co.il,200,1,0.268,0.512,0.000,0.512,0.747,0.924,1.672
telebank.co.il,000,0,0.006,0.000,0.000,0.000,0.000,0.000,4.216
israelpost.co.il,200,1,0.526,0.828,0.000,0.828,0.564,1.348,1.912
strauss-water-campaign.co.il,200,1,0.265,0.501,0.000,0.501,0.898,0.731,1.629
mail.ru,200,1,0.004,0.235,1.546,1.546,0.786,2.360,3.147
kat.cr,200,1,0.005,0.181,1.189,1.189,0.882,1.530,2.412
xvideos.com,200,1,0.130,0.306,0.000,0.306,0.932,0.506,1.438
office.com,200,1,0.262,0.320,1.228,1.228,0.438,1.364,1.803
booking.com,200,1,1.526,1.626,0.000,1.627,1.939,2.555,4.494
reddit.com,200,1,0.068,0.093,0.616,0.616,0.179,0.639,0.818
pornhub.com,200,1,0.013,0.187,0.000,0.187,0.358,0.424,0.782
bing.com,200,1,0.514,0.534,0.000,0.534,0.117,0.592,0.710
wcdn.co.il,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
mizrahi-tefahot.co.il,200,3,0.000,0.307,0.631,0.631,3.545,1.235,4.780
imgur.com,200,0,0.031,0.063,0.000,0.063,0.000,0.087,0.087
github.com,200,1,0.004,0.096,0.857,0.857,0.248,1.026,1.274
