website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
google.com,200,1,0.523,0.930,0.000,0.930,0.196,1.171,1.367
yahoo.com,200,1,0.064,0.114,0.729,0.729,0.646,0.857,1.503
blogfa.com,200,0,0.006,0.026,0.000,0.026,0.000,0.186,0.186
varzesh3.com,200,1,0.005,0.289,0.000,0.289,0.216,0.588,0.804
digikala.com,200,0,0.266,0.587,0.000,0.587,0.000,0.931,0.931
aparat.com,200,1,0.067,0.390,0.000,0.390,0.758,0.860,1.618
wikipedia.org,200,2,0.134,0.362,0.470,0.470,1.140,0.491,1.631
shaparak.ir,200,0,1.520,1.846,0.000,1.846,0.000,2.459,2.459
mihanblog.com,200,0,0.256,0.528,0.000,0.529,0.000,0.831,0.831
ask.com,200,1,0.136,0.205,0.000,0.205,0.488,0.361,0.849
bankmellat.ir,200,1,0.000,0.000,0.000,0.000,1.074,0.512,1.586
yjc.ir,200,1,0.523,0.814,0.000,0.814,1.574,1.356,2.931
farsnews.com,200,1,0.527,0.873,0.000,0.873,1.130,1.180,2.309
facenama.com,200,1,0.000,0.716,0.000,0.716,0.873,1.024,1.896
divar.ir,200,0,0.526,1.006,0.000,1.006,0.000,1.356,1.356
tabnak.ir,200,1,0.014,0.284,0.000,0.284,0.576,0.721,1.297
persianblog.ir,200,0,0.006,0.273,0.000,0.273,0.000,0.595,0.596
rozblog.com,200,1,0.264,0.681,0.000,0.681,1.146,1.111,2.257
blog.ir,200,0,3.528,3.873,0.000,3.874,0.000,4.140,4.140
popmaster.ir,200,0,0.005,0.307,0.000,0.307,0.000,0.809,0.809
picofile.com,200,0,0.263,0.597,0.000,0.597,0.000,0.920,0.920
telegram.me,200,2,0.005,0.397,1.430,1.430,2.172,1.803,3.975
peyvandha.ir,200,0,1.527,1.840,0.000,1.840,0.000,2.142,2.142
terraclicks.com,200,0,1.523,1.637,0.000,1.637,0.000,1.747,1.747
bmi.ir,200,0,0.006,0.269,0.000,0.269,0.000,0.576,0.576
beytoote.com,200,1,0.134,0.269,0.000,0.270,0.546,0.372,0.918
asriran.com,200,1,0.014,1.284,0.000,1.284,0.713,1.946,2.659
telegram.org,200,1,0.005,0.429,1.661,1.661,1.369,2.029,3.397
alibaba.com,200,1,0.518,0.547,0.000,0.547,0.254,0.583,0.837
irpopup.ir,200,0,1.529,1.803,0.000,1.803,0.000,2.171,2.171
tebyan.net,200,0,0.532,1.000,0.000,1.000,0.000,1.549,1.549
khabaronline.ir,200,0,0.527,1.800,0.000,1.800,0.000,2.075,2.075
shahrekhabar.com,200,1,0.525,0.862,0.000,0.862,1.085,1.146,2.231
mashreghnews.ir,200,0,0.524,0.701,0.000,0.701,0.000,2.129,2.129
blogsky.com,200,1,0.065,0.255,0.000,0.255,0.493,0.440,0.933
bartarinha.ir,200,0,3.532,3.872,0.000,3.872,0.000,4.313,4.313
sanjesh.org,200,0,1.531,1.884,0.000,1.884,0.000,2.248,2.248
tasnimnews.com,200,0,0.005,0.482,0.000,0.482,0.000,0.810,0.810
bama.ir,200,0,0.006,0.271,0.000,0.271,0.000,0.602,0.602
1varzesh.com,200,1,0.264,0.614,0.000,0.614,2.338,1.327,3.665
directrev.com,200,1,0.262,0.277,0.000,0.277,0.752,0.315,1.067
msn.com,200,1,0.134,0.180,0.000,0.180,0.578,0.324,0.903
cloob.com,200,1,0.067,0.350,0.000,0.350,0.857,0.704,1.561
isna.ir,200,0,0.006,3.528,0.000,3.528,0.000,3.965,3.965
p30download.com,200,0,0.006,0.287,0.000,0.287,0.000,0.598,0.598
tamin.ir,200,0,0.528,0.883,0.000,0.883,0.000,1.193,1.193
onclickads.net,200,1,1.523,1.712,0.000,1.712,0.414,1.924,2.338
bamilo.com,200,1,1.527,1.911,0.000,1.911,0.860,2.141,3.001
akairan.com,000,0,0.006,0.000,0.000,0.000,0.000,0.000,4.219
instagram.com,200,1,0.525,0.822,1.792,1.792,0.340,1.929,2.269
bing.com,200,1,0.065,0.085,0.000,0.085,0.580,0.160,0.740
uast.ac.ir,200,0,0.006,0.415,0.000,0.415,0.000,1.260,1.260
90tv.ir,200,0,0.525,0.869,0.000,0.869,0.000,1.413,1.413
uploadboy.com,200,0,0.132,1.160,0.000,1.160,0.000,1.591,1.591
mehrnews.com,200,0,0.526,0.835,0.000,0.835,0.000,1.118,1.118
soft98.ir,200,0,0.523,0.834,0.000,0.835,0.000,1.295,1.295
linkedin.com,200,2,0.014,0.246,0.848,0.848,0.415,0.896,1.311
khabarfarsi.com,200,0,0.260,0.470,0.000,0.470,0.000,0.653,0.653
stackoverflow.com,200,0,0.521,0.564,0.000,0.564,0.000,0.969,0.969
entekhab.ir,200,1,0.517,0.783,0.000,0.783,0.609,1.292,1.900
lordpopup.com,200,0,3.534,3.879,0.000,3.879,0.000,4.153,4.153
nex1music.ir,200,0,0.522,0.791,0.000,0.791,0.000,1.158,1.159
hammihan.com,200,0,0.267,0.373,0.000,0.373,0.000,0.493,0.493
jamnews.ir,200,1,0.525,0.867,0.000,0.867,2.167,1.144,3.310
downloadha.com,200,1,0.015,1.307,0.000,1.307,0.656,1.632,2.288
khabarpu.com,200,0,1.536,1.826,0.000,1.827,0.000,2.236,2.236
niksalehi.com,200,1,0.262,0.451,0.000,0.451,0.980,0.639,1.619
