website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
youtube.com,200,2,0.014,0.246,0.618,0.618,0.748,0.674,1.423
google.com,200,1,0.264,0.806,0.000,0.807,0.557,1.160,1.717
google.com.jm,200,1,0.137,0.595,0.000,0.595,0.792,0.833,1.625
facebook.com,200,2,0.525,0.830,1.135,1.135,1.673,1.430,3.104
yahoo.com,200,1,0.063,0.120,0.713,0.713,0.131,0.820,0.951
amazon.com,200,1,0.066,0.159,0.000,0.159,0.271,0.293,0.565
live.com,200,3,0.521,0.621,0.973,0.973,2.494,1.081,3.575
scotiabank.com,200,1,1.525,1.571,0.000,1.571,0.318,2.092,2.410
wikipedia.org,200,2,0.135,1.368,1.480,1.480,1.170,1.500,2.670
ebay.com,200,1,0.136,0.166,0.000,0.166,0.115,0.417,0.532
onclickads.net,200,1,0.035,0.230,0.000,0.230,1.881,0.451,2.332
jamaicaobserver.com,200,1,0.132,0.166,0.000,0.166,0.223,0.203,0.427
twitter.com,200,1,0.005,0.030,0.688,0.688,0.115,1.111,1.226
instagram.com,200,1,1.528,1.815,2.497,2.497,0.318,2.634,2.951
putlocker.is,200,2,0.031,0.056,0.000,0.056,1.919,0.512,2.431
kat.cr,200,1,0.014,0.121,0.868,0.868,0.745,1.073,1.818
bing.com,200,1,0.522,0.588,0.000,0.589,0.563,0.653,1.216
msn.com,200,1,0.130,0.157,0.000,0.158,0.104,0.301,0.405
netflix.com,200,1,0.065,0.117,0.991,0.991,0.346,1.460,1.806
pinterest.com,200,2,0.530,0.662,1.025,1.025,3.667,1.223,4.890
jamaica-gleaner.com,200,0,0.133,0.237,0.000,0.237,0.000,0.441,0.441
ncbelink.com,000,0,0.006,0.000,0.000,0.000,0.000,0.000,4.219
ask.com,200,1,1.531,1.564,0.000,1.564,0.461,1.723,2.184
paypal.com,200,3,0.000,0.144,0.240,0.240,3.008,0.719,3.728
linkedin.com,200,2,0.014,0.245,0.786,0.786,0.546,0.836,1.383
adnetworkperformance.com,200,0,0.138,0.207,0.000,0.207,0.000,0.270,0.270
alibaba.com,200,1,0.067,0.099,0.000,0.099,0.096,0.139,0.235
xvideos.com,200,1,0.140,0.341,0.000,0.341,1.024,0.600,1.624
