website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
yahoo.co.jp,200,1,0.523,0.704,0.000,0.704,0.668,0.858,1.526
google.co.jp,200,1,0.070,0.509,0.000,0.509,0.331,0.737,1.068
amazon.co.jp,200,1,0.135,0.174,0.000,0.174,0.147,0.242,0.388
youtube.com,200,2,0.014,0.241,0.731,0.731,0.615,0.783,1.399
google.com,200,1,0.033,0.553,0.000,0.553,0.445,0.776,1.221
fc2.com,200,0,0.133,0.191,0.000,0.191,0.000,0.214,0.214
rakuten.co.jp,200,1,0.522,0.555,0.000,0.555,0.512,0.591,1.102
nicovideo.jp,200,1,0.137,0.279,0.000,0.279,0.530,0.432,0.962
twitter.com,200,1,0.014,0.044,0.552,0.552,0.080,0.784,0.864
facebook.com,200,2,1.529,1.831,2.148,2.148,1.661,2.404,4.065
wikipedia.org,200,2,1.526,1.753,1.868,1.868,1.272,1.885,3.157
dmm.co.jp,200,1,0.262,2.396,0.000,2.396,0.593,2.568,3.162
livedoor.jp,200,1,0.005,0.127,0.000,0.127,0.258,0.258,0.516
ameblo.jp,200,0,0.133,0.265,0.000,0.265,0.000,0.392,0.392
naver.jp,200,1,0.130,0.265,0.000,0.265,0.505,0.415,0.920
kakaku.com,200,0,0.259,0.402,0.000,0.402,0.000,0.560,0.560
goo.ne.jp,200,1,0.265,0.404,0.000,0.404,0.530,0.867,1.397
t.co,200,0,0.033,0.056,0.000,0.056,0.000,0.080,0.080
pixiv.net,200,1,0.264,0.388,0.000,0.388,0.755,0.555,1.310
doorblog.jp,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006
blog.jp,200,0,0.265,0.400,0.000,0.401,0.000,0.549,0.549
xvideos.com,200,1,0.129,0.326,0.000,0.327,1.591,0.538,2.129
2ch.net,200,0,0.132,0.160,0.000,0.160,0.000,0.192,0.192
impress.co.jp,200,1,0.066,0.200,0.000,0.200,0.404,0.330,0.734
