website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
facebook.com,200,2,0.069,0.084,0.189,0.189,0.773,0.328,1.101
google.com,200,1,0.035,0.086,0.000,0.086,0.201,0.183,0.384
youtube.com,200,2,0.005,0.088,0.297,0.297,0.347,0.411,0.758
sabay.com.kh,200,0,0.532,0.736,0.000,0.736,0.000,0.937,0.937
google.com.kh,200,1,0.062,0.111,0.000,0.112,0.367,0.212,0.579
freshnewsasia.com,200,1,0.272,0.520,0.000,0.520,0.857,0.817,1.674
khmerload.com,200,1,0.268,0.297,0.548,0.548,0.338,0.974,1.312
blogspot.com,200,6,0.000,0.066,0.134,0.134,1.782,0.302,2.084
yahoo.com,200,1,0.528,0.578,0.805,0.805,0.750,0.939,1.689
khmer-note.com,200,1,0.272,0.357,0.000,0.357,0.643,0.858,1.500
blogger.com,200,6,0.000,0.042,0.097,0.097,1.112,0.235,1.347
thmeythmey.com,200,1,0.266,0.345,0.000,0.345,0.447,0.512,0.959
khmer-press.com,200,1,0.522,0.614,0.000,0.614,0.595,1.041,1.636
amazon.com,200,1,0.068,0.158,0.000,0.158,0.246,0.281,0.528
google.co.id,200,1,0.070,0.120,0.000,0.120,0.179,0.206,0.386
vow-news.com,200,1,0.270,0.468,0.000,0.468,0.665,0.669,1.334
health.com.kh,200,0,1.517,1.619,0.000,1.619,0.000,1.843,1.843
khmer24.com,200,1,0.132,0.160,0.000,0.160,0.371,0.457,0.828
wikipedia.org,200,2,0.072,0.089,0.166,0.166,0.335,0.194,0.529
kbn-live.com,200,1,0.000,0.000,0.000,0.000,0.321,0.623,0.944
rosemag.net,200,0,0.067,0.252,0.000,0.252,0.000,0.743,0.743
klikbca.com,200,0,2.537,2.745,0.000,2.745,0.000,2.965,2.966
ask.com,200,1,0.520,0.560,0.000,0.560,0.249,0.701,0.951
twitter.com,200,1,0.004,0.089,0.419,0.419,0.307,1.458,1.765
kampucheathmey.com,200,0,0.132,0.180,0.000,0.180,0.000,1.349,1.350
khmer2all.tv,200,1,0.534,0.637,0.000,0.637,1.363,1.964,3.328
onclickads.net,200,1,0.529,0.722,0.000,0.722,0.532,0.928,1.460
bektleay.com,200,0,0.273,0.308,0.000,0.308,0.000,0.366,0.366
bni.co.id,200,1,0.000,0.000,0.000,0.000,2.009,0.620,2.629
stackoverflow.com,200,0,0.523,0.557,0.000,0.557,0.000,0.736,0.737
alibaba.com,200,1,0.535,0.551,0.000,0.552,0.111,0.585,0.696
xnxx.com,200,1,0.073,0.260,0.000,0.260,0.457,0.541,0.998
wordpress.com,200,1,0.005,0.019,0.151,0.151,0.113,0.186,0.298
bongacams.com,200,1,0.005,0.090,0.418,0.418,0.470,0.816,1.286
khmerscoop.com,200,2,0.000,0.207,0.000,0.207,1.539,0.419,1.959
knn-news.com,200,0,0.070,0.104,0.000,0.104,0.000,0.237,0.237
adnetworkperformance.com,200,0,0.068,0.125,0.000,0.126,0.000,0.187,0.187
kohsantepheapdaily.com.kh,200,1,0.005,0.303,1.840,1.840,1.138,2.385,3.523
postkhmer.com,200,1,0.270,0.286,0.000,0.286,0.316,0.663,0.979
veaha.com,200,0,0.264,0.349,0.000,0.349,0.000,0.606,0.606
histats.com,200,0,0.034,0.128,0.000,0.129,0.000,0.238,0.238
xvideos.com,200,1,0.033,0.236,0.000,0.236,0.943,0.516,1.459
bankmandiri.co.id,200,0,1.524,1.719,0.000,1.719,0.000,1.931,1.931
bri.co.id,200,0,1.538,1.841,0.000,1.841,0.000,2.065,2.066
kat.cr,200,1,0.005,0.200,0.933,0.933,0.408,1.973,2.381
uptodown.com,200,1,0.520,0.547,0.000,0.547,0.107,0.743,0.850
komsan.tv,403,0,0.005,0.223,0.000,0.223,0.000,0.499,0.499
instagram.com,200,1,0.529,0.565,0.739,0.739,0.251,0.918,1.169
linkedin.com,200,2,0.005,0.042,0.219,0.219,0.380,0.268,0.648
popcash.net,200,0,0.066,0.123,0.000,0.123,0.000,0.293,0.293
khmernews.today,200,0,0.071,0.119,0.000,0.119,0.000,1.020,1.020
microsoft.com,200,2,0.000,0.000,0.000,0.000,0.759,0.436,1.195
dap-news.com,200,0,0.271,0.303,0.000,0.303,0.000,0.365,0.365
phumikhmer8.com,200,1,0.527,0.578,0.000,0.578,0.416,0.673,1.089
live.com,200,3,0.063,0.195,0.538,0.538,1.113,0.661,1.774
mungkulkar.com,200,0,0.267,0.604,0.000,0.604,0.000,0.904,0.904
livescore.com,200,1,2.526,2.781,0.000,2.781,0.485,3.137,3.622
tribunnews.com,200,1,1.528,1.565,0.000,1.566,0.857,1.927,2.784
yp.com.kh,200,0,1.534,1.735,0.000,1.735,0.000,3.264,3.264
github.com,200,1,0.005,0.168,0.532,0.532,0.213,0.712,0.925
merdeka.com,200,1,0.526,0.732,0.000,0.732,2.237,1.015,3.252
paypal.com,200,3,0.000,0.022,0.055,0.055,3.040,0.566,3.606
kb-news.com,200,0,1.531,2.625,0.000,2.625,0.000,3.117,3.117
cambomag.com,200,1,1.532,1.755,0.000,1.755,1.318,2.706,4.023
livehelpnow.net,200,1,0.134,0.248,0.000,0.248,0.825,0.399,1.224
khmerwonder.net,200,1,0.005,0.024,0.000,0.024,1.181,1.117,2.298
apple.com,200,1,0.523,0.543,0.000,0.543,0.100,0.564,0.664
kqube.net,200,2,0.271,0.287,0.000,0.287,1.258,1.789,3.047
cambo-report.com,200,0,0.270,0.357,0.000,0.358,0.000,1.835,1.835
khnews25.com,200,0,0.522,1.580,0.000,1.580,0.000,1.812,1.812
p2push.net,200,0,1.531,1.783,0.000,1.783,0.000,2.093,2.093
imgur.com,200,0,0.030,0.048,0.000,0.048,0.000,0.139,0.139
bp.blogspot.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
idn889.com,200,0,0.266,0.541,0.000,0.541,0.000,0.849,0.849
reddit.com,200,1,0.518,0.545,0.700,0.700,0.113,1.063,1.176
akamaihd.net,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
indolotto88.com,200,0,0.134,0.326,0.000,0.326,0.000,0.526,0.526
aliexpress.com,200,1,0.533,0.552,0.000,0.552,0.077,0.613,0.689
t.co,200,0,0.033,0.113,0.000,0.113,0.000,0.208,0.208
pinterest.com,200,2,0.531,0.616,0.957,0.957,0.255,1.213,1.469
w3schools.com,200,1,0.526,0.541,0.000,0.541,0.203,0.560,0.763
camnews.com.kh,200,0,1.531,1.792,0.000,1.792,0.000,2.510,2.510
khmer79.com,200,0,0.271,0.303,0.000,0.303,0.000,0.804,0.804
pmhotnews.com,200,1,0.264,0.456,0.000,0.456,1.113,1.630,2.742
readnews25.com,200,0,0.273,0.308,0.000,0.308,0.000,0.359,0.359
khmertalking.com,200,0,0.274,0.530,0.000,0.530,0.000,1.655,1.655
ebay.com,200,1,0.535,0.553,0.000,0.553,0.118,1.095,1.212
asianbookie.com,403,4,0.000,0.000,0.000,0.000,1.295,0.198,1.493
camnews.today,200,0,0.068,0.097,0.000,0.097,0.000,0.619,0.619
google.com.vn,200,1,0.032,0.048,0.000,0.048,0.149,0.148,0.297
readkh.com,200,0,0.266,0.343,0.000,0.343,0.000,0.382,0.382
popads.net,200,2,0.005,0.059,0.247,0.247,0.351,0.662,1.012
khmerleading.com,200,0,0.263,0.301,0.000,0.301,0.000,0.410,0.410
doyanqq.com,200,1,0.000,0.000,0.000,0.000,1.693,0.187,1.881
bandarkiu.com,200,1,0.000,0.000,0.000,0.000,0.719,0.409,1.128
ultra88.com,200,2,0.001,0.017,0.061,0.061,1.285,0.851,2.136
msn.com,200,1,0.069,0.092,0.000,0.093,0.069,0.209,0.279
bing.com,200,1,0.521,0.535,0.000,0.535,0.075,0.599,0.673
camhr.com,200,0,0.530,0.705,0.000,0.705,0.000,0.876,0.876
adplxmd.com,200,0,0.005,0.029,0.000,0.029,0.000,0.184,0.184
directrev.com,200,1,0.035,0.068,0.000,0.068,0.239,0.092,0.331
livechatinc.com,200,1,0.005,0.063,0.313,0.313,1.671,0.749,2.420
booking.com,200,1,0.532,0.618,0.000,0.618,0.857,1.775,2.632
imdb.com,200,1,0.034,0.120,0.000,0.120,0.763,0.615,1.377
dailymail.co.uk,200,2,0.000,0.000,0.000,0.000,0.973,0.043,1.016
tripadvisor.com,200,1,0.521,0.542,0.000,0.542,0.491,0.656,1.147
angkorposts.com,200,1,0.530,1.799,0.000,1.799,0.394,1.964,2.357
loading-delivery2.com,200,0,0.004,0.187,0.000,0.187,0.000,0.374,0.374
agoda.com,200,1,0.032,0.147,0.000,0.147,0.462,1.221,1.683
english-khmer.com,200,0,1.532,1.619,0.000,1.619,0.000,1.708,1.708
khmeradmin.com,200,1,0.033,0.050,0.000,0.050,0.613,0.430,1.043
nontonmovie.club,200,0,0.072,0.088,0.000,0.088,0.000,0.793,0.793
dropbox.com,200,2,0.524,0.544,0.707,0.707,1.295,1.045,2.340
dunialotere.com,200,0,0.068,0.255,0.000,0.255,0.000,0.496,0.496
txxx.com,200,1,0.035,0.048,0.000,0.048,0.274,0.269,0.542
savefrom.net,200,1,0.005,0.174,0.000,0.174,0.676,0.373,1.049
rfa.org,200,2,0.000,0.000,0.000,0.000,0.847,0.029,0.876
gsmarena.com,200,1,0.135,0.309,0.000,0.309,0.420,0.578,0.998
cen.com.kh,200,1,1.536,1.844,0.000,1.844,2.143,2.152,4.295
github.io,500,0,0.004,0.027,0.000,0.027,0.000,0.086,0.087
mediafire.com,200,2,0.036,0.103,0.370,0.370,0.648,0.490,1.138
hoki88.com,200,1,0.072,0.273,0.000,0.273,0.670,0.481,1.151
3nokor.com,200,1,0.525,0.734,0.000,0.735,1.393,1.542,2.936
google.co.th,200,1,1.519,1.553,0.000,1.553,0.183,1.695,1.878
terraclicks.com,200,0,0.005,0.112,0.000,0.112,0.000,0.321,0.322
adf.ly,200,0,0.034,0.055,0.000,0.055,0.000,0.276,0.276
godaddy.com,200,1,0.532,0.549,0.836,0.836,0.114,0.963,1.077
mystart.com,200,1,0.137,0.208,0.581,0.582,0.183,0.739,0.922
nowgoal.com,200,3,0.000,0.000,0.000,0.000,3.085,0.043,3.128
pornhub.com,200,1,0.036,0.202,0.000,0.202,0.876,0.512,1.388
tumblr.com,200,1,0.524,0.611,0.985,0.985,0.247,1.231,1.478
aq88bet.com,200,2,0.000,0.000,0.000,0.000,1.458,0.207,1.666
jasabola.com,200,2,0.000,0.000,0.000,0.000,1.298,0.180,1.478
upornia.com,200,0,0.033,0.056,0.000,0.056,0.000,0.268,0.269
rfi.fr,200,1,0.133,0.153,0.000,0.153,0.386,0.300,0.686
bbc.com,200,1,0.533,0.556,0.000,0.556,0.375,0.731,1.107
mmmoffice.com,503,0,0.005,0.026,0.000,0.026,0.000,0.064,0.064
speedtest.net,200,1,0.035,0.053,0.000,0.053,0.055,0.102,0.158
subscene.com,200,0,0.070,0.085,0.000,0.085,0.000,0.491,0.491
bongthom.com,200,0,0.527,0.598,0.000,0.598,0.000,1.110,1.110
vayofm.com,200,0,0.268,0.327,0.000,0.327,0.000,0.406,0.406
roogrog.com,302,2,0.000,0.000,0.000,0.000,0.548,0.010,4.912
amung.us,200,1,0.064,0.144,0.000,0.145,0.268,0.214,0.482
