website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
naver.com,200,1,0.526,0.553,0.000,0.553,0.390,0.778,1.167
google.co.kr,200,1,0.032,0.054,0.000,0.054,0.156,0.170,0.326
google.com,200,1,0.069,0.092,0.000,0.092,0.164,0.192,0.356
youtube.com,200,2,0.005,0.019,0.154,0.154,0.310,0.244,0.554
daum.net,200,1,0.530,0.690,0.000,0.690,0.881,0.861,1.743
facebook.com,200,2,0.034,0.049,0.155,0.155,0.807,0.267,1.074
amazon.com,200,1,0.070,0.162,0.000,0.162,0.224,0.306,0.530
tistory.com,200,1,0.265,0.538,0.000,0.538,0.420,1.155,1.576
ppomppu.co.kr,200,0,1.537,1.721,0.000,1.721,0.000,1.935,1.935
clien.net,200,0,0.271,0.487,0.000,0.487,0.000,0.656,0.656
gmarket.co.kr,200,0,0.266,0.422,0.000,0.423,0.000,0.627,0.627
11st.co.kr,200,0,0.265,0.469,0.000,0.469,0.000,0.720,0.720
donga.com,200,1,0.267,0.449,0.000,0.449,0.593,0.644,1.237
auction.co.kr,200,0,0.269,0.448,0.000,0.448,0.000,0.640,0.640
blog.me,200,0,0.271,0.446,0.000,0.446,0.000,0.639,0.639
wikipedia.org,200,2,0.033,0.064,0.206,0.206,0.430,0.236,0.665
ebay.com,200,1,0.534,0.550,0.000,0.550,0.134,0.949,1.083
saramin.co.kr,200,2,0.000,0.000,0.000,0.000,3.791,0.411,4.202
aliexpress.com,200,1,0.525,0.542,0.000,0.542,0.126,0.591,0.717
twitter.com,200,1,0.005,0.112,0.429,0.429,0.228,0.570,0.798
baidu.com,200,0,0.525,0.821,0.000,0.821,0.000,1.025,1.025
chosun.com,200,0,0.268,0.427,0.000,0.427,0.000,0.612,0.612
namu.wiki,200,2,0.000,0.000,0.000,0.000,0.566,0.328,0.894
yahoo.com,200,1,0.529,0.572,0.824,0.824,0.116,0.933,1.049
nate.com,200,1,0.260,0.445,0.000,0.445,0.387,0.639,1.026
interpark.com,200,0,0.267,0.464,0.000,0.464,0.000,0.659,0.659
torrentkim1.net,200,1,0.005,0.020,0.294,0.294,0.129,0.332,0.461
ticketmonster.co.kr,200,2,0.000,0.150,0.000,0.150,2.927,0.786,3.712
todayhumor.co.kr,200,1,0.035,0.055,0.000,0.055,1.170,0.530,1.700
danawa.com,200,0,0.267,0.430,0.000,0.430,0.000,0.630,0.631
bigbogo.net,200,1,0.063,1.118,0.000,1.119,1.619,1.190,2.809
ddanzi.com,200,1,0.033,0.061,0.000,0.061,0.485,0.690,1.176
instagram.com,200,1,0.029,0.048,0.235,0.235,0.220,0.375,0.595
coupang.com,200,1,0.528,0.691,0.000,0.691,0.887,0.910,1.797
live.com,200,3,0.032,0.114,0.444,0.444,2.076,0.588,2.664
apple.com,200,1,0.034,0.049,0.000,0.049,0.704,0.069,0.773
malltail.com,200,1,1.519,1.700,0.000,1.700,0.461,1.908,2.369
etorrent.co.kr,200,0,0.034,0.069,0.000,0.069,0.000,0.519,0.519
dcinside.com,000,0,0.005,0.000,0.000,0.000,0.000,0.000,4.214
qq.com,200,1,0.005,0.226,0.000,0.226,3.884,0.937,4.821
tosarang2.net,200,1,0.033,0.047,0.000,0.048,0.195,0.179,0.374
inven.co.kr,200,2,0.000,0.000,0.000,0.000,1.367,0.403,1.771
ssg.com,200,1,0.030,0.190,0.000,0.190,0.835,0.557,1.392
blogspot.kr,200,1,0.031,0.062,0.000,0.062,0.224,0.179,0.403
cafe24.com,302,12,0.000,0.173,0.000,0.174,4.692,0.000,4.895
wemakeprice.com,200,0,0.263,0.467,0.000,0.467,0.000,1.201,1.201
taobao.com,200,3,1.524,1.557,0.279,1.557,2.281,1.602,3.883
slrclub.com,200,1,1.528,1.692,0.000,1.692,0.635,1.859,2.494
zum.com,200,0,0.034,0.186,0.000,0.186,0.000,0.355,0.355
joins.com,200,1,0.268,0.436,0.000,0.436,0.648,1.065,1.713
microsoft.com,200,2,0.000,0.000,0.000,0.000,0.248,0.440,0.688
ilbe.com,200,1,0.035,0.191,0.000,0.191,0.397,0.438,0.835
kakao.com,200,2,0.034,0.234,0.000,0.234,0.731,0.444,1.175
paypal.com,200,3,0.000,0.019,0.065,0.065,1.742,0.723,2.465
yes24.com,200,1,0.267,0.429,0.000,0.429,0.965,0.620,1.585
tumblr.com,200,1,0.527,0.612,0.972,0.972,0.255,1.214,1.469
ehanex.com,302,3,0.000,0.000,0.000,0.000,1.029,1.099,2.128
