website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
mail.ru,200,1,0.005,0.304,1.135,1.135,0.555,2.046,2.601
youtube.com,200,2,0.005,0.034,0.191,0.191,0.297,0.321,0.618
vk.com,200,1,0.527,0.743,0.000,0.743,0.980,0.975,1.955
google.com,200,1,0.032,0.052,0.000,0.052,0.107,0.161,0.268
yandex.kz,200,4,0.000,0.000,0.000,0.000,3.366,0.279,3.645
google.kz,200,1,0.035,0.049,0.000,0.049,0.221,0.143,0.364
ok.ru,200,0,0.033,0.255,0.000,0.255,0.000,0.547,0.547
facebook.com,200,2,0.033,0.046,0.162,0.162,0.883,0.294,1.177
google.ru,200,1,0.067,0.093,0.000,0.093,0.113,0.196,0.310
olx.kz,200,0,0.530,0.919,0.000,0.919,0.000,1.255,1.255
yandex.ru,200,2,0.005,0.219,1.537,1.537,1.024,1.848,2.872
aliexpress.com,200,1,0.524,0.552,0.000,0.552,0.081,0.608,0.689
wikipedia.org,200,2,0.033,0.065,0.187,0.187,0.320,0.202,0.522
kolesa.kz,200,0,1.534,2.066,0.000,2.066,0.000,2.442,2.443
nur.kz,200,1,0.068,0.392,0.000,0.392,0.630,0.718,1.349
kinogo.co,200,0,0.132,0.150,0.000,0.150,0.000,0.715,0.715
satu.kz,200,1,0.000,0.000,0.000,0.000,1.197,0.445,1.643
zakon.kz,200,1,1.524,1.843,0.000,1.843,2.199,2.155,4.353
gov.kz,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tengrinews.kz,200,0,1.525,3.813,0.000,3.813,0.000,4.199,4.199
instagram.com,200,1,0.526,0.543,0.669,0.669,0.215,0.816,1.030
ebay.com,200,1,0.529,0.549,0.000,0.549,0.105,1.040,1.145
homebank.kz,200,1,0.005,0.307,1.434,1.434,0.597,1.946,2.543
krisha.kz,200,0,1.535,2.029,0.000,2.029,0.000,2.429,2.429
twitter.com,200,1,0.005,0.086,0.410,0.410,0.197,0.683,0.880
seasonvar.ru,200,0,0.272,0.466,0.000,0.466,0.000,0.812,0.812
rambler.ru,200,1,0.266,0.513,0.000,0.513,0.517,0.823,1.339
kinopoisk.ru,200,1,0.036,0.259,0.000,0.259,0.522,0.575,1.097
gismeteo.kz,200,1,1.541,1.842,2.765,2.765,1.123,3.686,4.808
amazon.com,200,1,1.536,1.634,0.000,1.635,0.215,1.765,1.980
vse.kz,200,0,1.535,1.878,0.000,1.878,0.000,2.801,2.801
onclickads.net,200,1,0.073,0.240,0.000,0.240,0.372,0.470,0.842
kaztorka.org,200,0,0.525,0.866,0.000,0.866,0.000,1.188,1.188
kkb.kz,200,0,1.526,1.914,0.000,1.914,0.000,2.223,2.223
kaspi.kz,200,3,0.000,0.000,0.000,0.000,4.181,0.309,4.490
technodom.kz,200,1,0.528,0.921,0.000,0.921,2.232,1.843,4.075
sulpak.kz,302,3,0.005,0.307,1.986,0.000,3.370,0.000,5.356
hh.kz,200,1,0.005,0.301,1.316,1.317,2.303,2.309,4.612
wildberries.kz,200,1,0.005,0.310,1.541,1.541,0.493,2.137,2.629
rutracker.org,200,1,0.000,0.000,0.000,0.000,1.145,0.329,1.474
365info.kz,200,0,0.520,0.598,0.000,0.598,0.000,1.124,1.124
liveinternet.ru,200,1,0.033,0.367,0.000,0.367,0.658,0.671,1.329
lamoda.kz,200,1,0.005,0.357,0.000,0.357,0.664,0.670,1.335
4pda.ru,200,0,0.260,0.359,0.000,0.359,0.000,0.846,0.846
alibaba.com,200,1,0.067,0.088,0.000,0.088,0.331,0.127,0.457
bigcinema.tv,200,0,0.266,0.449,0.000,0.449,0.000,0.646,0.646
yahoo.com,200,1,0.069,0.104,0.310,0.310,0.146,0.426,0.573
kurs.kz,200,0,1.531,1.860,0.000,1.860,0.000,2.781,2.781
