website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
google.com,200,1,0.034,0.048,0.000,0.049,0.259,0.133,0.392
facebook.com,200,2,0.035,0.049,0.157,0.157,0.826,0.269,1.095
google.mg,200,1,0.035,0.051,0.000,0.051,0.223,0.157,0.380
youtube.com,200,2,0.004,0.024,0.150,0.151,0.312,0.267,0.579
yahoo.com,200,1,0.529,0.565,0.785,0.785,0.276,0.912,1.188
ask.com,200,1,0.529,0.561,0.000,0.561,0.244,0.721,0.965
google.fr,200,1,0.036,0.053,0.000,0.053,0.160,0.277,0.437
adnetworkperformance.com,200,0,0.031,0.082,0.000,0.082,0.000,0.140,0.140
blogspot.com,200,6,0.000,0.138,0.234,0.234,2.815,0.406,3.221
akamaihd.net,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
cpasbien.io,503,0,0.015,0.060,0.000,0.060,0.000,0.085,0.085
msn.com,200,1,0.516,0.531,0.000,0.531,0.723,0.659,1.382
wikipedia.org,200,2,0.036,0.055,0.205,0.205,0.522,0.227,0.749
moov.mg,200,0,0.533,1.051,0.000,1.051,0.000,1.694,1.694
commentcamarche.net,200,1,0.531,0.578,0.000,0.578,0.482,1.212,1.695
mystart.com,200,1,0.142,0.290,0.662,0.662,0.306,0.826,1.132
onclickads.net,200,1,0.034,0.199,0.000,0.199,0.408,0.420,0.828
predictivadvertising.com,200,0,0.070,0.152,0.000,0.152,0.000,0.222,0.222
orange.mg,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001
reimageplus.com,200,1,0.036,0.113,0.000,0.113,0.224,0.209,0.433
gov.mg,200,0,0.531,1.158,0.000,1.158,0.000,2.798,2.799
alibaba.com,200,1,0.067,1.090,0.000,1.090,0.125,1.132,1.257
justproxy.co.uk,200,1,0.033,0.056,0.000,0.056,0.453,0.511,0.963
live.com,200,3,0.518,0.602,0.940,0.940,1.294,1.039,2.333
midi-madagasikara.mg,200,1,0.514,0.685,0.000,0.685,0.735,0.860,1.594
all2lnk.com,200,0,0.065,0.271,0.000,0.271,0.000,0.479,0.479
reverso.net,200,2,0.000,0.000,0.000,0.001,1.015,0.180,1.195
free.fr,200,1,0.256,0.414,0.000,0.414,0.402,0.576,0.979
twitter.com,200,1,0.004,0.082,0.442,0.442,0.228,0.688,0.915
flirchi.com,200,1,0.005,0.213,1.145,1.145,0.513,1.649,2.161
over-blog.com,200,1,0.256,0.432,1.212,1.212,0.445,2.164,2.609
zone-telechargement.com,520,0,0.014,0.067,0.000,0.067,0.000,0.596,0.596
uptodown.com,200,1,0.255,0.478,0.000,0.478,0.472,0.922,1.394
linternaute.com,200,1,0.267,0.437,0.000,0.437,0.558,0.612,1.170
bing.com,200,1,0.522,0.539,0.000,0.539,0.151,0.604,0.755
journaldesfemmes.com,200,1,0.032,0.205,0.000,0.205,1.414,0.389,1.802
01net.com,200,1,0.257,0.432,0.000,0.432,0.865,0.608,1.473
microsoft.com,200,2,0.000,0.000,0.000,0.000,0.747,0.437,1.185
xvideos.com,200,1,0.036,0.209,0.000,0.209,0.382,0.407,0.789
spaceshipads.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001
jobmada.com,200,1,0.518,0.698,0.000,0.698,0.639,1.017,1.656
lemonde.fr,200,1,0.525,0.543,0.000,0.543,0.421,0.764,1.185
youporn.com,200,1,0.035,0.198,0.000,0.198,0.422,0.368,0.790
