website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
google.com,200,1,0.005,0.181,0.000,0.181,0.554,0.383,0.937
facebook.com,200,2,0.004,0.072,0.319,0.319,0.682,0.500,1.182
reklama5.mk,200,0,0.525,0.746,0.000,0.746,0.000,1.752,1.752
youtube.com,200,2,0.005,0.007,0.635,0.635,0.348,0.672,1.020
grid.mk,200,0,1.524,1.735,0.000,1.736,0.000,2.195,2.195
kurir.mk,200,0,0.014,0.169,0.000,0.169,0.000,0.327,0.327
motika.com.mk,200,1,0.266,0.515,0.000,0.515,1.110,0.933,2.042
press24.mk,200,0,0.130,0.343,0.000,0.344,0.000,0.557,0.558
femina.mk,200,1,0.261,0.502,0.000,0.502,0.907,0.949,1.856
crnobelo.com,200,1,0.519,0.850,0.000,0.850,1.144,1.198,2.342
pazar3.mk,200,1,0.262,0.492,0.000,0.492,1.866,0.694,2.561
puls24.mk,200,0,0.017,0.209,0.000,0.209,0.000,2.827,2.827
sitel.com.mk,200,0,0.523,0.807,0.000,0.807,0.000,1.044,1.044
reporter.mk,200,0,0.262,0.536,0.000,0.536,0.000,0.843,0.843
kajgana.com,200,0,0.265,0.631,0.000,0.631,0.000,1.348,1.348
panika.be,200,0,0.524,0.820,0.000,0.820,0.000,1.088,1.088
yahoo.com,200,1,0.005,0.030,0.282,0.282,0.319,0.380,0.699
gazetaexpress.com,200,1,0.014,0.029,0.000,0.029,0.416,0.419,0.834
mkd.mk,200,1,0.263,0.454,0.000,0.454,0.644,0.647,1.291
vecer.mk,200,0,0.261,0.452,0.000,0.452,0.000,0.645,0.645
srekja.mk,200,1,0.261,0.422,0.000,0.422,2.091,1.014,3.105
navalica.com,200,1,0.136,0.223,0.000,0.223,0.668,0.795,1.463
off.net.mk,200,0,0.261,0.465,0.000,0.466,0.000,0.680,0.680
time.mk,200,1,0.064,0.252,0.000,0.252,0.501,0.455,0.956
kafepauza.mk,200,1,0.256,0.404,0.000,0.404,0.436,0.553,0.989
faktor.mk,200,0,0.523,0.680,0.000,0.680,0.000,0.836,0.836
weather4all.com.mk,200,0,0.031,0.038,0.000,0.038,0.000,0.419,0.419
sportmedia.mk,200,0,0.264,0.467,0.000,0.467,0.000,0.662,0.663
pozitivo.net,200,1,0.261,0.452,0.000,0.452,1.029,2.321,3.351
wikipedia.org,200,2,0.134,0.137,0.196,0.196,0.331,0.200,0.530
