website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
facebook.com,200,2,0.528,0.596,0.850,0.850,0.672,1.007,1.680
google.com,200,1,0.530,0.713,0.000,0.713,0.158,0.921,1.078
youtube.com,200,2,0.005,0.008,0.152,0.152,0.642,0.199,0.842
google.com.np,200,1,0.135,0.318,0.000,0.318,0.097,0.520,0.617
onlinekhabar.com,200,1,0.015,0.031,0.000,0.031,0.102,0.072,0.174
ekantipur.com,200,1,0.068,0.137,0.000,0.137,0.205,0.217,0.422
twitter.com,200,1,0.005,0.014,0.210,0.211,0.033,0.637,0.670
setopati.com,200,0,0.137,0.143,0.000,0.143,0.000,0.399,0.400
etajakhabar.com,200,1,0.032,0.056,0.000,0.056,1.014,1.781,2.795
blogspot.com,200,6,0.000,0.004,0.012,0.012,1.610,0.091,1.701
yahoo.com,200,1,0.526,0.551,0.779,0.779,0.072,0.871,0.942
nagariknews.com,200,0,1.528,1.832,0.000,1.832,0.000,2.136,2.136
wikipedia.org,200,2,0.136,0.140,0.196,0.196,0.296,0.201,0.497
ratopati.com,200,1,0.272,0.338,0.000,0.338,0.221,0.405,0.626
annapurnapost.com,200,0,0.133,0.457,0.000,0.457,0.000,1.202,1.202
live.com,200,3,0.530,0.599,0.934,0.934,0.979,1.013,1.992
medianp.com,200,0,0.137,0.142,0.000,0.142,0.000,0.471,0.471
nepaliheadlines.com,200,0,0.137,0.142,0.000,0.142,0.000,0.505,0.506
amazon.com,200,1,0.528,0.611,0.000,0.611,0.186,0.728,0.914
t.co,200,0,0.015,0.022,0.000,0.022,0.000,0.035,0.035
merojob.com,200,1,0.528,0.834,0.000,0.834,1.195,1.226,2.421
khabardabali.com,200,1,0.032,0.106,0.000,0.107,0.415,0.182,0.597
pahilopost.com,200,1,0.015,0.020,0.000,0.020,0.754,0.731,1.486
linkedin.com,200,2,0.005,0.018,0.209,0.209,0.210,0.250,0.460
ask.com,200,1,0.071,0.085,0.000,0.085,0.187,0.240,0.426
stackoverflow.com,200,0,0.068,0.074,0.000,0.074,0.000,0.153,0.153
kathmandutoday.com,200,0,0.138,0.213,0.000,0.213,0.000,0.288,0.288
esewa.com.np,200,3,0.000,0.000,0.000,0.000,2.650,0.608,3.258
blogger.com,200,6,0.000,0.003,0.012,0.012,0.452,0.087,0.539
bbc.com,200,1,0.520,0.531,0.000,0.531,0.440,0.713,1.153
imagekhabar.com,200,1,0.267,0.454,0.000,0.454,0.901,0.749,1.650
ujyaaloonline.com,200,0,0.136,0.142,0.000,0.142,0.000,0.572,0.572
hamrobazaar.com,200,0,0.133,0.186,0.000,0.186,0.000,0.244,0.244
dainiknepal.com,200,0,0.135,0.152,0.000,0.152,0.000,1.391,1.391
bizmandu.com,200,0,1.533,1.863,0.000,1.863,0.000,2.233,2.233
purbelinews.com,200,0,0.131,0.156,0.000,0.156,0.000,1.182,1.182
kat.cr,301,1,0.013,0.086,0.000,0.000,1.120,0.000,6.010
espncricinfo.com,200,1,1.534,1.548,0.000,1.548,0.556,1.563,2.120
bongacams.com,200,1,0.004,0.057,0.359,0.359,3.963,0.870,4.834
onclickads.net,200,1,0.015,0.165,0.000,0.165,0.319,0.349,0.668
wordpress.com,200,1,0.004,0.008,0.163,0.163,0.021,0.181,0.202
github.com,200,1,0.005,0.082,0.461,0.461,0.186,0.554,0.740
rss.com.np,302,1,0.000,0.000,0.000,0.000,3.353,0.000,4.358
deerwalk.com,200,1,0.070,0.153,0.000,0.153,0.298,0.250,0.548
pornhub.com,200,1,0.005,0.159,0.000,0.159,0.312,0.372,0.684
nepalstock.com.np,200,0,0.521,0.831,0.000,0.831,0.000,1.246,1.246
nepalpati.com,200,0,0.068,0.074,0.000,0.074,0.000,0.595,0.596
kaymu.com.np,200,1,0.522,0.676,0.000,0.676,0.742,1.776,2.517
goal.com,200,1,1.532,1.547,0.000,1.547,0.857,1.945,2.803
diply.com,200,0,0.128,0.143,0.000,0.143,0.000,0.242,0.242
msn.com,200,1,0.066,0.068,0.000,0.068,0.073,0.443,0.516
shresthasushil.com.np,200,0,0.170,0.248,0.000,0.248,0.000,0.328,0.328
instagram.com,200,1,0.131,0.203,0.601,0.601,0.275,0.776,1.050
indiatimes.com,200,1,0.520,0.534,0.000,0.534,0.572,0.551,1.124
paypal.com,200,3,0.000,0.094,0.199,0.199,1.517,0.841,2.358
news24nepal.tv,200,1,0.035,0.058,0.000,0.058,2.808,0.103,2.911
enayapatrika.com,200,1,0.015,0.021,0.000,0.021,1.481,0.965,2.446
uptodown.com,200,1,0.266,0.279,0.000,0.280,0.582,0.295,0.877
myrepublica.com,200,0,0.068,0.074,0.000,0.074,0.000,0.477,0.478
wellfinger.com,200,1,0.014,0.019,0.000,0.019,0.189,0.093,0.282
meaww.com,200,0,0.265,0.270,0.000,0.270,0.000,0.367,0.367
alibaba.com,200,1,0.527,0.538,0.000,0.538,0.058,0.559,0.617
sharesansar.com,200,1,0.132,0.199,0.000,0.199,0.397,1.102,1.498
nibl.com.np,200,0,3.542,3.917,0.000,3.917,0.000,4.753,4.753
microsoft.com,200,2,0.000,0.000,0.000,0.000,0.546,0.900,1.446
merolagani.com,200,0,0.526,0.714,0.000,0.714,0.000,1.028,1.028
wordpress.org,200,1,0.005,0.032,0.259,0.259,0.060,0.288,0.348
worldlink.com.np,200,1,0.522,0.897,2.047,2.047,1.120,2.360,3.480
bizpati.com,200,0,0.006,0.011,0.000,0.011,0.000,4.779,4.780
ntc.net.np,200,0,0.520,0.923,0.000,0.923,0.000,1.234,1.234
xnepali.net,200,1,0.000,0.000,0.000,0.000,0.176,0.643,0.819
nea.org.np,200,0,0.006,0.338,0.000,0.338,0.000,0.703,0.703
psc.gov.np,200,0,0.526,0.882,0.000,0.883,0.000,1.239,1.240
sudursansar.com,200,0,0.132,0.196,0.000,0.196,0.000,0.330,0.330
tripadvisor.com,200,1,0.527,0.650,0.000,0.650,0.161,1.251,1.412
merokalam.com,200,1,0.522,0.545,0.000,0.545,0.180,0.620,0.800
nayapage.com,200,1,0.034,0.056,0.000,0.057,0.730,0.115,0.846
dailymail.co.uk,200,2,0.000,0.000,0.000,0.000,1.443,0.054,1.497
mgid.com,200,0,0.527,0.573,0.000,0.573,0.000,1.068,1.068
9gag.com,200,0,0.132,0.136,0.000,0.136,0.000,0.142,0.142
thehimalayantimes.com,200,0,0.140,0.277,0.000,0.277,0.000,0.417,0.417
thestorypedia.com,200,1,0.014,0.019,0.000,0.019,0.537,0.420,0.958
digitaldainik.com,000,0,0.005,0.021,0.000,0.021,0.000,0.000,4.221
imdb.com,200,1,0.062,0.143,0.000,0.143,0.246,0.745,0.990
nepalipatra.com,200,1,0.035,0.056,0.000,0.056,0.181,0.844,1.025
sex.com,200,1,0.524,0.605,0.000,0.605,0.686,0.847,1.533
himalkhabar.com,200,1,0.134,0.138,0.000,0.139,0.940,1.253,2.194
sajhapost.com,200,1,0.032,0.038,0.000,0.038,0.283,1.739,2.022
chakrapath.com,200,0,0.131,0.434,0.000,0.434,0.000,3.783,3.783
biswokhabar.com,200,1,0.519,0.542,0.000,0.542,0.201,0.597,0.798
quora.com,200,1,0.520,0.522,0.665,0.665,0.165,0.795,0.960
gorkhapatraonline.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,4.538
adnetworkperformance.com,200,0,0.006,0.056,0.000,0.056,0.000,0.105,0.106
stackexchange.com,200,0,0.526,0.541,0.000,0.541,0.000,0.708,0.708
bhaskar.com,200,1,0.527,0.541,0.000,0.541,0.027,0.560,0.587
everestdainik.com,200,1,0.130,0.336,0.000,0.336,1.143,0.864,2.006
w3schools.com,200,1,0.014,0.016,0.000,0.016,0.192,0.020,0.212
mysansar.com,200,1,0.033,0.049,0.000,0.050,1.341,1.775,3.116
