website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
facebook.com,200,2,0.523,0.590,0.837,0.837,0.686,0.974,1.659
youtube.com,200,2,0.004,0.007,0.152,0.152,0.199,0.195,0.395
google.com.pe,200,1,0.130,0.780,0.000,0.780,0.163,0.991,1.154
google.com,200,1,0.014,0.198,0.000,0.199,0.044,0.408,0.452
live.com,200,3,0.521,0.594,0.953,0.954,1.036,1.037,2.073
yahoo.com,200,1,0.014,0.039,0.288,0.288,0.089,0.420,0.509
amazon.com,200,1,0.014,0.097,0.000,0.097,0.228,0.211,0.439
elcomercio.pe,200,0,0.017,0.097,0.000,0.097,0.000,0.212,0.213
msn.com,200,1,0.031,0.033,0.000,0.033,0.041,0.125,0.166
wikipedia.org,200,2,0.138,0.141,0.199,0.199,0.379,0.206,0.585
blogspot.pe,200,1,0.005,0.184,0.000,0.185,0.171,0.386,0.557
xvideos.com,200,1,0.132,0.282,0.000,0.282,0.441,0.449,0.889
twitter.com,200,1,0.004,0.015,0.232,0.232,0.059,0.404,0.463
sunat.gob.pe,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005
onclickads.net,200,1,0.134,0.284,0.000,0.284,0.830,0.467,1.297
ask.com,200,1,0.067,0.081,0.000,0.081,0.183,0.216,0.399
mercadolibre.com.pe,200,1,1.525,1.603,0.000,1.603,0.303,1.783,2.086
rpp.pe,200,0,0.136,0.217,0.000,0.217,0.000,0.427,0.427
larepublica.pe,200,0,0.030,0.106,0.000,0.106,0.000,0.181,0.181
viabcp.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001
computrabajo.com.pe,200,1,0.067,1.161,0.000,1.161,0.234,1.243,1.477
americatv.com.pe,200,1,0.133,0.213,0.000,0.213,0.428,0.316,0.744
adnetworkperformance.com,200,0,0.033,0.081,0.000,0.082,0.000,0.129,0.130
depor.pe,200,0,0.072,0.154,0.000,0.154,0.000,0.339,0.339
linkedin.com,200,2,0.013,0.025,0.210,0.210,0.208,0.247,0.455
google.es,200,1,0.069,0.247,0.000,0.247,0.099,0.448,0.547
peru21.pe,200,0,0.139,0.226,0.000,0.226,0.000,0.664,0.665
uptodown.com,200,1,0.034,0.047,0.000,0.047,0.569,0.081,0.650
diariocorreo.pe,200,0,0.266,0.348,0.000,0.348,0.000,0.441,0.441
