website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
facebook.com,200,2,0.033,0.049,0.163,0.163,0.857,0.287,1.144
youtube.com,200,2,0.013,0.070,0.210,0.210,0.215,0.266,0.481
google.com,200,1,0.033,0.068,0.000,0.068,0.282,0.179,0.460
google.com.sv,200,1,0.034,0.058,0.000,0.058,0.325,0.131,0.456
elsalvador.com,200,1,0.136,0.223,0.000,0.223,0.542,0.315,0.856
laprensagrafica.com,200,1,0.135,0.220,0.000,0.220,0.445,0.332,0.777
elblog.com,200,0,0.137,0.249,0.000,0.249,0.000,0.391,0.392
amazon.com,200,1,0.068,0.157,0.000,0.157,0.273,0.301,0.574
yahoo.com,200,1,0.513,0.613,1.090,1.091,0.264,1.259,1.523
live.com,200,3,0.005,0.090,0.434,0.434,0.612,0.532,1.144
twitter.com,200,1,0.005,0.065,0.223,0.223,0.222,0.443,0.664
lapagina.com.sv,200,0,1.528,1.740,0.000,1.740,0.000,1.963,1.964
olx.com.sv,200,4,0.000,0.000,0.000,0.000,2.935,0.634,3.569
ebay.com,200,1,0.068,0.099,0.000,0.099,0.139,0.569,0.709
wikipedia.org,200,2,0.032,0.054,0.207,0.207,0.436,0.229,0.665
msn.com,200,1,0.524,0.548,0.000,0.548,0.109,0.681,0.790
blogspot.com,200,6,0.000,0.024,0.085,0.085,1.995,0.205,2.199
uptodown.com,200,1,0.069,0.086,0.000,0.086,0.681,0.205,0.886
netflix.com,200,1,1.533,1.777,2.027,2.027,0.389,2.697,3.085
elgrafico.com,200,1,0.263,0.460,0.000,0.460,0.501,0.598,1.099
marca.com,200,1,0.263,0.504,0.000,0.505,0.894,0.769,1.664
ask.com,200,1,0.527,0.542,0.000,0.542,0.320,0.724,1.045
instagram.com,200,1,0.070,1.121,1.282,1.282,1.362,1.353,2.716
t.co,200,0,0.033,0.086,0.000,0.086,0.000,0.126,0.126
xvideos.com,200,1,0.032,0.415,0.000,0.415,0.379,0.702,1.081
paginasamarillas.com.sv,200,1,1.532,1.631,0.000,1.631,0.340,1.833,2.173
pinterest.com,200,2,0.268,0.391,0.742,0.742,0.616,0.945,1.561
diario1.com,200,0,0.062,0.151,0.000,0.151,0.000,0.457,0.457
google.es,200,1,0.070,0.107,0.000,0.107,0.096,0.190,0.286
pcbac.com,000,0,0.005,0.000,0.000,0.000,0.000,0.000,0.005
adnetworkperformance.com,200,0,0.066,0.120,0.000,0.120,0.000,0.189,0.189
paypal.com,200,3,0.000,0.027,0.062,0.062,2.350,0.937,3.287
bongacams.com,200,1,0.005,0.236,0.582,0.582,0.556,1.079,1.635
taringa.net,200,1,0.065,0.088,0.000,0.088,0.582,0.870,1.452
bing.com,200,1,0.524,0.538,0.000,0.539,0.446,0.611,1.057
whatsapp.com,200,1,0.032,0.062,0.251,0.251,0.277,0.310,0.587
edhdeportes.com,200,1,0.268,0.362,0.000,0.362,0.512,0.529,1.041
clasificados.st,200,1,0.267,0.331,0.000,0.331,0.667,0.412,1.078
wordpress.com,200,1,0.005,0.020,0.203,0.203,0.131,0.237,0.368
linkedin.com,200,2,0.005,0.040,0.370,0.370,0.848,0.445,1.293
reddit.com,200,1,0.035,0.082,0.270,0.270,0.225,0.292,0.517
computrabajo.com,200,1,0.034,0.150,0.000,0.150,0.375,0.257,0.632
microsoft.com,200,2,0.000,0.000,0.000,0.000,0.561,0.314,0.876
adf.ly,200,0,0.142,0.157,0.000,0.157,0.000,0.320,0.321
esmitv.com,200,1,0.065,0.134,0.000,0.134,0.745,0.211,0.956
mega.nz,200,1,0.005,0.192,1.203,1.203,0.364,1.523,1.888
rt.com,200,1,0.527,0.637,1.061,1.061,0.406,1.156,1.561
as.com,200,1,0.261,0.499,0.000,0.499,0.459,0.689,1.148
sucursalelectronica.com,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
bancoagricola.com,200,0,0.522,0.716,0.000,0.717,0.000,1.026,1.026
addthis.com,200,1,0.525,0.542,0.000,0.542,0.158,0.870,1.028
elfaro.net,200,1,0.266,0.356,0.000,0.356,0.715,0.701,1.416
office.com,200,1,0.527,0.617,1.107,1.107,0.573,1.287,1.860
tumblr.com,200,1,0.527,0.636,1.089,1.089,0.284,1.337,1.621
onclickads.net,200,1,0.136,0.371,0.000,0.371,0.506,0.650,1.156
cnn.com,200,1,0.524,0.573,0.000,0.573,0.415,0.621,1.036
citibank.com.sv,200,0,0.269,0.334,0.000,0.334,0.000,0.426,0.426
sport.es,200,2,0.000,0.000,0.000,0.000,2.428,0.074,2.501
softonic.com,200,1,0.266,0.497,0.000,0.497,0.499,0.743,1.242
