website,http_status,number_of_redirects,dns_lookup_time,tcp_connect_time,ssl_ssh_time,pretransfer_time,redirect_time,starttransfer_time,total_time
facebook.com,200,2,0.524,0.559,0.674,0.674,0.849,0.789,1.638
youtube.com,200,2,0.014,0.033,0.198,0.198,0.383,0.252,0.634
google.com,200,1,0.031,0.052,0.000,0.052,1.579,0.197,1.776
google.tn,200,1,0.032,0.046,0.000,0.046,0.127,0.120,0.248
jawharafm.net,200,2,0.000,0.000,0.000,0.000,0.914,0.212,1.126
mosaiquefm.net,200,2,0.000,0.000,0.000,0.000,2.491,0.924,3.415
google.fr,200,1,0.067,0.112,0.000,0.112,0.135,0.179,0.314
yahoo.com,200,1,0.526,0.622,1.030,1.030,0.344,1.695,2.038
blogspot.com,200,6,0.000,0.039,0.065,0.065,2.366,0.170,2.536
wikipedia.org,200,2,0.069,0.086,0.236,0.237,0.315,0.253,0.568
tayara.tn,200,1,0.266,0.458,0.000,0.458,0.548,0.685,1.233
babnet.net,200,1,0.267,0.292,0.000,0.292,0.860,1.313,2.173
onclickads.net,200,1,0.032,0.204,0.000,0.204,0.376,0.410,0.786
twitter.com,200,1,0.005,0.036,0.258,0.259,0.103,0.454,0.557
xnxx.com,200,1,0.069,0.266,0.000,0.266,2.772,0.570,3.342
adnetworkperformance.com,200,0,0.069,0.122,0.000,0.122,0.000,0.191,0.191
tunisia-sat.com,200,1,0.068,0.096,0.344,0.344,0.607,1.699,2.306
ask.com,200,1,0.065,0.092,0.000,0.092,0.285,0.542,0.828
alibaba.com,200,1,0.066,0.086,0.000,0.086,0.135,0.176,0.311
alchourouk.com,200,0,1.529,1.699,0.000,1.699,0.000,2.055,2.055
google.com.tn,200,1,0.005,0.026,0.000,0.026,0.135,0.087,0.222
365planetwinall.net,200,1,0.137,0.164,0.000,0.164,0.338,0.655,0.993
live.com,200,3,0.035,0.120,0.462,0.462,1.180,0.565,1.745
amazon.com,200,1,0.036,0.122,0.000,0.122,0.218,0.264,0.482
linkedin.com,200,2,0.005,0.050,0.271,0.271,0.301,0.325,0.626
shemsfm.net,200,2,0.000,0.000,0.000,0.000,1.050,0.182,1.232
xvideos.com,200,1,0.034,0.258,0.000,0.258,0.425,0.493,0.918
instagram.com,200,1,0.529,0.546,0.695,0.695,0.261,0.761,1.022
bongacams.com,200,1,0.005,0.076,0.393,0.393,0.430,0.837,1.267
mtunisiatv.com,200,0,0.272,0.358,0.000,0.358,0.000,0.798,0.798
flashscore.com,200,1,0.033,0.228,0.000,0.228,0.666,0.423,1.089
tunisie-annonce.com,200,0,0.269,0.452,0.000,0.452,0.000,0.666,0.666
dailymotion.com,200,2,0.000,0.000,0.000,0.000,1.271,0.721,1.992
blogger.com,200,6,0.000,0.033,0.066,0.066,0.776,0.187,0.963
predictivadvertising.com,200,0,0.031,0.084,0.000,0.084,0.000,0.149,0.150
all2lnk.com,200,0,0.066,0.342,0.000,0.342,0.000,0.555,0.556
akamaihd.net,000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001
stackoverflow.com,200,0,0.065,0.086,0.000,0.086,0.000,0.191,0.191
carthagefm.net,200,0,1.521,1.829,0.000,1.829,0.000,3.086,3.086
msn.com,200,1,0.529,0.548,0.000,0.548,0.206,0.681,0.886
microsoft.com,200,2,0.000,0.000,0.000,0.000,1.058,0.476,1.534
flirchi.com,200,1,0.005,0.308,1.283,1.283,0.498,1.747,2.245
mbc.net,200,2,0.000,0.000,0.000,0.000,0.329,0.031,0.360
pornhub.com,200,1,0.005,0.213,0.000,0.213,0.904,0.436,1.340
t.co,200,0,0.034,0.062,0.000,0.062,0.000,0.098,0.098
